cell,group,feature,oriented_auroc,n
ars_gsm8k_r1distill8b,math,epr,0.6906,500
ars_gsm8k_r1distill8b,math,trace_length,0.3178,500
ars_gsm8k_r1distill8b,math,spectral_entropy,0.6675,500
ars_gsm8k_r1distill8b,math,low_band_power,0.5755,500
ars_gsm8k_r1distill8b,math,high_band_power,0.4558,500
ars_gsm8k_r1distill8b,math,hl_ratio,0.4276,500
ars_gsm8k_r1distill8b,math,dominant_freq,0.3949,500
ars_gsm8k_r1distill8b,math,spectral_centroid,0.4054,500
ars_gsm8k_r1distill8b,math,stft_max_high_power,0.5968,500
ars_gsm8k_r1distill8b,math,stft_spectral_entropy,0.5252,500
ars_gsm8k_r1distill8b,math,rpdi,0.5948,500
ars_gsm8k_r1distill8b,math,sw_var_peak,0.6898,500
ars_gsm8k_r1distill8b,math,pe_mean,0.4889,500
ars_gsm8k_r1distill8b,math,hurst_exponent,0.4594,500
ars_gsm8k_r1distill8b,math,cusum_max,0.6965,500
ars_gsm8k_r1distill8b,math,cusum_shift_idx,0.5002,500
ars_gsm8k_r1distill8b,math,epr_spilled,0.3077,500
ars_gsm8k_r1distill8b,math,sw_var_peak_spilled,0.3261,500
ars_gsm8k_r1distill8b,math,cusum_max_spilled,0.3075,500
ars_gsm8k_r1distill8b,math,min_spilled,0.516,500
ars_gsm8k_r1distill8b,math,epr_energy,0.3007,500
ars_gsm8k_r1distill8b,math,min_energy,0.367,500
ars_gsm8k_r1distill8b,math,sw_var_peak_energy,0.6156,500
ars_gsm8k_r1distill8b,math,cusum_max_energy,0.5495,500
ars_gsm8k_r1distill8b,math,mean_top1_logprob,0.6923,500
ars_gsm8k_r1distill8b,math,logprob_margin,0.667,500
ars_gsm8k_r1distill8b,math,mean_logprob_entropy,0.6927,500
ars_gsm8k_r1distill8b,math,varentropy,0.7018,500
ars_gsm8k_r1distill8b,math,renyi_entropy_2,0.6897,500
ars_gsm8k_r1distill8b,math,topk_tail_mass,0.7198,500
epr_triviaqa_mistral24b,QA,epr,0.7375,621
epr_triviaqa_mistral24b,QA,trace_length,0.3973,621
epr_triviaqa_mistral24b,QA,spectral_entropy,0.5761,621
epr_triviaqa_mistral24b,QA,low_band_power,0.5442,621
epr_triviaqa_mistral24b,QA,high_band_power,0.4344,621
epr_triviaqa_mistral24b,QA,hl_ratio,0.4373,621
epr_triviaqa_mistral24b,QA,dominant_freq,0.428,621
epr_triviaqa_mistral24b,QA,spectral_centroid,0.411,621
epr_triviaqa_mistral24b,QA,rpdi,0.5072,621
epr_triviaqa_mistral24b,QA,sw_var_peak,0.7159,621
epr_triviaqa_mistral24b,QA,pe_mean,0.4889,621
epr_triviaqa_mistral24b,QA,hurst_exponent,0.4469,621
epr_triviaqa_mistral24b,QA,cusum_max,0.6746,621
epr_triviaqa_mistral24b,QA,cusum_shift_idx,0.4238,621
epr_triviaqa_mistral24b,QA,epr_spilled,0.2798,621
epr_triviaqa_mistral24b,QA,sw_var_peak_spilled,0.309,621
epr_triviaqa_mistral24b,QA,cusum_max_spilled,0.3245,621
epr_triviaqa_mistral24b,QA,min_spilled,0.4344,621
epr_triviaqa_mistral24b,QA,epr_energy,0.2711,621
epr_triviaqa_mistral24b,QA,min_energy,0.2646,621
epr_triviaqa_mistral24b,QA,sw_var_peak_energy,0.6831,621
epr_triviaqa_mistral24b,QA,cusum_max_energy,0.6478,621
epr_triviaqa_mistral24b,QA,mean_top1_logprob,0.7342,621
epr_triviaqa_mistral24b,QA,logprob_margin,0.7044,621
epr_triviaqa_mistral24b,QA,mean_logprob_entropy,0.7422,621
epr_triviaqa_mistral24b,QA,varentropy,0.7362,621
epr_triviaqa_mistral24b,QA,renyi_entropy_2,0.738,621
epr_triviaqa_mistral24b,QA,topk_tail_mass,0.7548,621
inside_coqa_llama7b,QA,epr,0.5728,4504
inside_coqa_llama7b,QA,spectral_entropy,0.3592,4504
inside_coqa_llama7b,QA,low_band_power,0.6075,4504
inside_coqa_llama7b,QA,high_band_power,0.538,4504
inside_coqa_llama7b,QA,hl_ratio,0.4763,4504
inside_coqa_llama7b,QA,dominant_freq,0.433,4504
inside_coqa_llama7b,QA,spectral_centroid,0.448,4504
inside_coqa_llama7b,QA,stft_max_high_power,0.5366,4504
inside_coqa_llama7b,QA,stft_spectral_entropy,0.4212,4504
inside_coqa_llama7b,QA,rpdi,0.438,4504
inside_coqa_llama7b,QA,sw_var_peak,0.6152,4504
inside_coqa_llama7b,QA,pe_mean,0.5221,4504
inside_coqa_llama7b,QA,hurst_exponent,0.4064,4504
inside_coqa_llama7b,QA,cusum_max,0.5363,4504
inside_coqa_llama7b,QA,cusum_shift_idx,0.597,4504
inside_coqa_llama7b,QA,epr_spilled,0.4274,4504
inside_coqa_llama7b,QA,sw_var_peak_spilled,0.4899,4504
inside_coqa_llama7b,QA,cusum_max_spilled,0.4736,4504
inside_coqa_llama7b,QA,epr_energy,0.3376,4504
inside_coqa_llama7b,QA,min_energy,0.3785,4504
inside_coqa_llama7b,QA,sw_var_peak_energy,0.6538,4504
inside_coqa_llama7b,QA,cusum_max_energy,0.5616,4504
inside_coqa_llama7b,QA,mean_top1_logprob,0.5757,4504
inside_coqa_llama7b,QA,mean_logprob_entropy,0.5728,4504
inside_coqa_llama7b,QA,varentropy,0.5598,4504
inside_coqa_llama7b,QA,renyi_entropy_2,0.5752,4504
inside_coqa_llama7b,QA,topk_tail_mass,0.6153,4504
internalstates_gsm8k_qwen25_7b,math,epr,0.6311,500
internalstates_gsm8k_qwen25_7b,math,trace_length,0.2926,500
internalstates_gsm8k_qwen25_7b,math,spectral_entropy,0.6743,500
internalstates_gsm8k_qwen25_7b,math,low_band_power,0.6393,500
internalstates_gsm8k_qwen25_7b,math,high_band_power,0.4121,500
internalstates_gsm8k_qwen25_7b,math,hl_ratio,0.3743,500
internalstates_gsm8k_qwen25_7b,math,dominant_freq,0.405,500
internalstates_gsm8k_qwen25_7b,math,spectral_centroid,0.3705,500
internalstates_gsm8k_qwen25_7b,math,stft_max_high_power,0.5322,500
internalstates_gsm8k_qwen25_7b,math,stft_spectral_entropy,0.473,500
internalstates_gsm8k_qwen25_7b,math,rpdi,0.5097,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak,0.6913,500
internalstates_gsm8k_qwen25_7b,math,pe_mean,0.5105,500
internalstates_gsm8k_qwen25_7b,math,hurst_exponent,0.4087,500
internalstates_gsm8k_qwen25_7b,math,cusum_max,0.6809,500
internalstates_gsm8k_qwen25_7b,math,cusum_shift_idx,0.4934,500
internalstates_gsm8k_qwen25_7b,math,epr_spilled,0.362,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_spilled,0.3434,500
internalstates_gsm8k_qwen25_7b,math,cusum_max_spilled,0.3133,500
internalstates_gsm8k_qwen25_7b,math,epr_energy,0.2539,500
internalstates_gsm8k_qwen25_7b,math,min_energy,0.3854,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_energy,0.5368,500
internalstates_gsm8k_qwen25_7b,math,cusum_max_energy,0.654,500
