cell,group,auroc,good6,gap_vs_good6,verdict,size,p_pool,good6_kept,good6_missed,n_extra,n_extra_anti,n_extra_nearrandom,n_extra_strong_inverted,mean_auc_selected,mean_auc_unselected,sel_minus_unsel,rho_gate_vs_featauroc,chosen
inside_coqa_llama7b,QA,0.5220822173748253,0.6673670403915383,-0.14528482301671297,LOSS,20,27,6,,14,7,3,1,0.507865,0.5102142857142857,-0.0023492857142857204,0.3419847328244275,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|sw_var_peak|pe_mean|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
ars_gsm8k_r1distill8b,math,0.7030542986425339,0.7623222365869424,-0.059267937944408544,LOSS,16,30,4,low_band_power|spectral_entropy,12,5,2,4,0.5644437499999999,0.4935,0.07094374999999992,0.1508510410936555,epr|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
seiclr_triviaqa_opt30b,QA,0.5614045527451514,0.5883956570917686,-0.026991104346617112,LOSS,12,28,3,sw_var_peak|cusum_max|spectral_entropy,9,3,3,0,0.528075,0.5149125,0.013162499999999966,0.0046530724399067025,epr|low_band_power|hl_ratio|spectral_centroid|epr_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
semenergy_triviaqa_qwen3_8b,QA,0.7890325294284387,0.8159613899549709,-0.026928860526532206,LOSS,20,27,6,,14,6,0,5,0.5905250000000001,0.3990142857142857,0.19151071428571437,0.09157509157509157,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_r1distill8b_mn4096,math,0.8091635140815469,0.8328896361683247,-0.023726122086777823,LOSS,24,29,6,,18,10,1,8,0.5768958333333334,0.5656399999999999,0.011255833333333465,-0.08503821590380231,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
losnet_hotpotqa_mistral7b,QA,0.5683691163588909,0.5809721303562809,-0.012603013997390056,LOSS,12,29,4,low_band_power|spectral_entropy,8,3,2,0,0.5359833333333334,0.5009941176470588,0.034989215686274555,0.2635467980295566,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
noise_gsm8k_mistral7b,math,0.7780626204194621,0.7902344702003504,-0.012171849780888366,LOSS,19,29,5,spectral_entropy,14,8,1,7,0.5618157894736843,0.5019699999999999,0.05984578947368435,0.038916256157635463,epr|trace_length|low_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_nemo,math,0.7935486491976438,0.8013325208206379,-0.0077838716229940985,LOSS,17,29,5,spectral_entropy,12,7,0,6,0.5672941176470588,0.49310833333333326,0.07418578431372558,0.13400665208186444,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_phi35,math,0.8048442937370394,0.812493881220018,-0.007649587482978615,LOSS,16,29,5,spectral_entropy,11,6,1,5,0.60265625,0.46802307692307693,0.13463317307692307,0.2162561576354679,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
sciq_llama8b,QA,0.7407998177053664,0.7477498006152443,-0.0069499829098779164,LOSS,21,30,5,low_band_power,16,8,0,6,0.5614904761904762,0.4599777777777778,0.10151269841269839,0.24963844853551834,epr|trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
