category,uid,cell,n_steps,true_first_error,teacher_pred,P_AGREE_pred,P_SOFT_pred,ct7_pred,conf_c,agree_v
rescued,pb_olympiadbench_q8__fc1128ec8d6c5323,pb_olympiadbench_q8,9,7,6,7,5,5,0.009624025254794555,0.75
rescued,pb_omnimath_q4__d244352ef4c6508d,pb_omnimath_q4,8,7,0,7,0,7,0.032022948627275616,0.75
rescued,pb_olympiadbench_q8__90b4617529abac20,pb_olympiadbench_q8,6,1,3,1,1,1,0.033737061356000075,0.75
rescued,pb_omnimath_q4__695d6f1099658030,pb_omnimath_q4,11,1,2,1,1,1,0.028273647913613753,0.75
rescued,pb_omnimath_q8__b3c7b194067a0793,pb_omnimath_q8,14,10,12,10,12,12,0.06278054954491286,0.75
damaged,pb_math_q8__64fd22f42efb385b,pb_math_q8,8,2,2,4,2,2,0.05782649608356272,0.75
damaged,pb_omnimath_q8__526f8a193cde5a2f,pb_omnimath_q8,6,0,0,4,0,2,0.0328098967788959,0.5
damaged,pb_omnimath_q8__d30bfd8f254a22b5,pb_omnimath_q8,6,4,4,1,1,4,0.057788723057592084,0.5
damaged,pb_math_q8__44e7370d2e63df09,pb_math_q8,5,3,3,2,1,1,0.0025013286489338205,0.75
damaged,pb_omnimath_q8__4c4d30a6d5ed2e1d,pb_omnimath_q8,6,0,0,3,3,3,0.04402653782231425,0.5
both_wrong,pb_omnimath_q8__0249619a1c4386f2,pb_omnimath_q8,8,5,6,6,6,6,0.04645729514716712,0.75
both_wrong,pb_math_q8__6c90e9e6a4eb019e,pb_math_q8,3,1,0,0,0,1,0.006063946474514803,0.75
both_wrong,pb_omnimath_q8__ca1d15fa860cadc7,pb_omnimath_q8,7,3,0,0,0,1,0.03335469179797601,1.0
both_wrong,pb_omnimath_q4__8e9f52b55f09b87c,pb_omnimath_q4,8,3,6,6,6,6,0.028646988884427405,1.0
both_wrong,pb_omnimath_q8__f85ef1b64d5ee59c,pb_omnimath_q8,6,0,4,4,4,4,0.03792784442812924,0.75
