cell,subset,epr_auroc,cusum_max_auroc,delta,flag
ars_gsm8k_r1distill8b,GOOD_5,0.75,0.75,0.0,agree
ars_gsm8k_r1distill8b,GOOD_6,0.7623,0.7623,0.0,agree
epr_triviaqa_mistral24b,GOOD_5,0.7073,0.7073,0.0,agree
epr_triviaqa_mistral24b,GOOD_6,0.7332,0.7332,0.0,agree
inside_coqa_llama7b,GOOD_5,0.6841,0.6841,0.0,agree
inside_coqa_llama7b,GOOD_6,0.6674,0.6674,0.0,agree
inside_coqa_llama7b_n30_pilot,GOOD_5,0.5333,0.4667,-0.06659999999999999,DISAGREE
inside_coqa_llama7b_n30_pilot,GOOD_6,0.5632,0.4368,-0.1264,DISAGREE
internalstates_gsm8k_qwen25_7b,GOOD_5,0.6282,0.6282,0.0,agree
internalstates_gsm8k_qwen25_7b,GOOD_6,0.6853,0.6853,0.0,agree
lapeigvals_gsm8k_llama3b,GOOD_5,0.6845,0.6845,0.0,agree
lapeigvals_gsm8k_llama3b,GOOD_6,0.7025,0.7025,0.0,agree
lapeigvals_gsm8k_llama8b,GOOD_5,0.8152,0.8152,0.0,agree
lapeigvals_gsm8k_llama8b,GOOD_6,0.8186,0.8186,0.0,agree
lapeigvals_gsm8k_mistral24b,GOOD_5,0.8006,0.8006,0.0,agree
lapeigvals_gsm8k_mistral24b,GOOD_6,0.8087,0.8087,0.0,agree
lapeigvals_gsm8k_nemo,GOOD_5,0.782,0.782,0.0,agree
lapeigvals_gsm8k_nemo,GOOD_6,0.8013,0.8013,0.0,agree
lapeigvals_gsm8k_phi35,GOOD_5,0.8032,0.8032,0.0,agree
lapeigvals_gsm8k_phi35,GOOD_6,0.8125,0.8125,0.0,agree
losnet_hotpotqa_mistral7b,GOOD_5,0.5754,0.5754,0.0,agree
losnet_hotpotqa_mistral7b,GOOD_6,0.581,0.581,0.0,agree
noise_gsm8k_mistral7b,GOOD_5,0.7851,0.7851,0.0,agree
noise_gsm8k_mistral7b,GOOD_6,0.7902,0.7902,0.0,agree
noise_gsm8k_phi3mini,GOOD_5,0.6643,0.6643,0.0,agree
noise_gsm8k_phi3mini,GOOD_6,0.6801,0.6801,0.0,agree
sciq_llama8b,GOOD_5,0.7381,0.7381,0.0,agree
sciq_llama8b,GOOD_6,0.7477,0.7477,0.0,agree
se_nq_open_llama8b,GOOD_5,0.718,0.718,0.0,agree
se_nq_open_llama8b,GOOD_6,0.7303,0.7303,0.0,agree
se_squad_v2_llama8b,GOOD_5,0.7982,0.7982,0.0,agree
se_squad_v2_llama8b,GOOD_6,0.811,0.811,0.0,agree
seiclr_triviaqa_opt30b,GOOD_5,0.5948,0.5948,0.0,agree
seiclr_triviaqa_opt30b,GOOD_6,0.5884,0.5884,0.0,agree
semenergy_triviaqa_qwen3_8b,GOOD_5,0.8006,0.8006,0.0,agree
semenergy_triviaqa_qwen3_8b,GOOD_6,0.816,0.816,0.0,agree
spilled_triviaqa_llama8b,GOOD_5,0.934,0.934,0.0,agree
spilled_triviaqa_llama8b,GOOD_6,0.942,0.942,0.0,agree
truthfulqa_llama8b,GOOD_5,0.6596,0.6596,0.0,agree
truthfulqa_llama8b,GOOD_6,0.6572,0.6572,0.0,agree
