comparison_id,cell_id,scope,n,both_correct,left_only,right_only,neither,left_accuracy,right_accuracy,oracle_union_accuracy,oracle_gain_vs_best
C7_VS_FAMILY6,aggregate,ALL_DECISION,3400,933,287,208,1972,0.3588235294117647,0.33558823529411763,0.42,0.06117647058823528
C7_VS_FAMILY6,aggregate,ERROR_EXACT,2221,308,229,187,1497,0.24178298063935164,0.22287257991895543,0.3259792886087348,0.08419630796938318
C7_VS_FAMILY6,aggregate,CLEAN_ABSTENTION,1179,625,58,21,475,0.5793044953350297,0.547921967769296,0.5971162001696353,0.01781170483460559
C7_VS_FAMILY6,processbench_gsm8k_llama31_8b,ALL_DECISION,400,152,20,16,212,0.43,0.42,0.47,0.03999999999999998
C7_VS_FAMILY6,processbench_gsm8k_llama31_8b,ERROR_EXACT,207,59,14,11,123,0.3526570048309179,0.33816425120772947,0.4057971014492754,0.0531400966183575
C7_VS_FAMILY6,processbench_gsm8k_llama31_8b,CLEAN_ABSTENTION,193,93,6,5,89,0.5129533678756477,0.5077720207253886,0.538860103626943,0.025906735751295318
C7_VS_FAMILY6,processbench_math_llama31_8b,ALL_DECISION,1000,302,91,63,544,0.393,0.365,0.456,0.063
C7_VS_FAMILY6,processbench_math_llama31_8b,ERROR_EXACT,594,91,62,55,386,0.25757575757575757,0.24579124579124578,0.3501683501683502,0.09259259259259262
C7_VS_FAMILY6,processbench_math_llama31_8b,CLEAN_ABSTENTION,406,211,29,8,158,0.5911330049261084,0.5394088669950738,0.6108374384236454,0.019704433497536922
C7_VS_FAMILY6,processbench_olympiadbench_llama31_8b,ALL_DECISION,1000,258,90,66,586,0.348,0.324,0.414,0.066
C7_VS_FAMILY6,processbench_olympiadbench_llama31_8b,ERROR_EXACT,661,87,77,63,434,0.2481089258698941,0.22692889561270801,0.3434190620272315,0.09531013615733738
C7_VS_FAMILY6,processbench_olympiadbench_llama31_8b,CLEAN_ABSTENTION,339,171,13,3,152,0.5427728613569321,0.5132743362831859,0.551622418879056,0.008849557522123908
C7_VS_FAMILY6,processbench_omnimath_llama31_8b,ALL_DECISION,1000,221,86,63,630,0.307,0.284,0.37,0.063
C7_VS_FAMILY6,processbench_omnimath_llama31_8b,ERROR_EXACT,759,71,76,58,554,0.19367588932806323,0.16996047430830039,0.27009222661396576,0.07641633728590252
C7_VS_FAMILY6,processbench_omnimath_llama31_8b,CLEAN_ABSTENTION,241,150,10,5,76,0.6639004149377593,0.6431535269709544,0.6846473029045643,0.020746887966805017
C8_VS_FAMILY6,aggregate,ALL_DECISION,3400,992,214,149,2045,0.3547058823529412,0.33558823529411763,0.3985294117647059,0.043823529411764706
C8_VS_FAMILY6,aggregate,ERROR_EXACT,2221,363,175,132,1551,0.24223322827555155,0.22287257991895543,0.3016659162539397,0.05943268797838813
C8_VS_FAMILY6,aggregate,CLEAN_ABSTENTION,1179,629,39,17,494,0.5665818490245971,0.547921967769296,0.5810008481764207,0.014418999151823653
C8_VS_FAMILY6,processbench_gsm8k_llama31_8b,ALL_DECISION,400,156,20,12,212,0.44,0.42,0.47,0.02999999999999997
C8_VS_FAMILY6,processbench_gsm8k_llama31_8b,ERROR_EXACT,207,60,17,10,120,0.3719806763285024,0.33816425120772947,0.42028985507246375,0.048309178743961345
C8_VS_FAMILY6,processbench_gsm8k_llama31_8b,CLEAN_ABSTENTION,193,96,3,2,92,0.5129533678756477,0.5077720207253886,0.5233160621761658,0.01036269430051806
C8_VS_FAMILY6,processbench_math_llama31_8b,ALL_DECISION,1000,310,74,55,561,0.384,0.365,0.439,0.05499999999999999
C8_VS_FAMILY6,processbench_math_llama31_8b,ERROR_EXACT,594,100,52,46,396,0.2558922558922559,0.24579124579124578,0.3333333333333333,0.07744107744107742
C8_VS_FAMILY6,processbench_math_llama31_8b,CLEAN_ABSTENTION,406,210,22,9,165,0.5714285714285714,0.5394088669950738,0.5935960591133005,0.022167487684729092
C8_VS_FAMILY6,processbench_olympiadbench_llama31_8b,ALL_DECISION,1000,281,51,43,625,0.332,0.324,0.375,0.04299999999999998
C8_VS_FAMILY6,processbench_olympiadbench_llama31_8b,ERROR_EXACT,661,111,43,39,468,0.2329803328290469,0.22692889561270801,0.291981845688351,0.059001512859304106
C8_VS_FAMILY6,processbench_olympiadbench_llama31_8b,CLEAN_ABSTENTION,339,170,8,4,157,0.5250737463126843,0.5132743362831859,0.5368731563421829,0.01179941002949858
C8_VS_FAMILY6,processbench_omnimath_llama31_8b,ALL_DECISION,1000,245,69,39,647,0.314,0.284,0.353,0.03899999999999998
C8_VS_FAMILY6,processbench_omnimath_llama31_8b,ERROR_EXACT,759,92,63,37,567,0.20421607378129117,0.16996047430830039,0.25296442687747034,0.04874835309617917
C8_VS_FAMILY6,processbench_omnimath_llama31_8b,CLEAN_ABSTENTION,241,153,6,2,80,0.6597510373443983,0.6431535269709544,0.6680497925311203,0.008298755186721962
C7_VS_C8,aggregate,ALL_DECISION,3400,1080,140,126,2054,0.3588235294117647,0.3547058823529412,0.39588235294117646,0.037058823529411755
C7_VS_C8,aggregate,ERROR_EXACT,2221,428,109,110,1574,0.24178298063935164,0.24223322827555155,0.29131022062134176,0.049076992345790216
C7_VS_C8,aggregate,CLEAN_ABSTENTION,1179,652,31,16,480,0.5793044953350297,0.5665818490245971,0.5928753180661578,0.013570822731128085
C7_VS_C8,processbench_gsm8k_llama31_8b,ALL_DECISION,400,162,10,14,214,0.43,0.44,0.465,0.025000000000000022
C7_VS_C8,processbench_gsm8k_llama31_8b,ERROR_EXACT,207,68,5,9,125,0.3526570048309179,0.3719806763285024,0.3961352657004831,0.024154589371980673
C7_VS_C8,processbench_gsm8k_llama31_8b,CLEAN_ABSTENTION,193,94,5,5,89,0.5129533678756477,0.5129533678756477,0.538860103626943,0.025906735751295318
C7_VS_C8,processbench_math_llama31_8b,ALL_DECISION,1000,355,38,29,578,0.393,0.384,0.422,0.02899999999999997
C7_VS_C8,processbench_math_llama31_8b,ERROR_EXACT,594,126,27,26,415,0.25757575757575757,0.2558922558922559,0.30134680134680136,0.043771043771043794
C7_VS_C8,processbench_math_llama31_8b,CLEAN_ABSTENTION,406,229,11,3,163,0.5911330049261084,0.5714285714285714,0.5985221674876847,0.00738916256157629
C7_VS_C8,processbench_olympiadbench_llama31_8b,ALL_DECISION,1000,296,52,36,616,0.348,0.332,0.384,0.03600000000000003
C7_VS_C8,processbench_olympiadbench_llama31_8b,ERROR_EXACT,661,121,43,33,464,0.2481089258698941,0.2329803328290469,0.2980332829046899,0.04992435703479578
C7_VS_C8,processbench_olympiadbench_llama31_8b,CLEAN_ABSTENTION,339,175,9,3,152,0.5427728613569321,0.5250737463126843,0.551622418879056,0.008849557522123908
C7_VS_C8,processbench_omnimath_llama31_8b,ALL_DECISION,1000,267,40,47,646,0.307,0.314,0.354,0.03999999999999998
C7_VS_C8,processbench_omnimath_llama31_8b,ERROR_EXACT,759,113,34,42,570,0.19367588932806323,0.20421607378129117,0.2490118577075099,0.04479578392621872
C7_VS_C8,processbench_omnimath_llama31_8b,CLEAN_ABSTENTION,241,154,6,5,76,0.6639004149377593,0.6597510373443983,0.6846473029045643,0.020746887966805017
