cell,rep,arena,family,variant,size,auroc,floor,overlap,overlap_null,fallback,seconds,error
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k3,3,0.634180790960452,0.6521175141242936,0.0,0.2735,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k4,4,0.5896045197740113,0.6669175141242937,0.25,0.237375,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k5,5,0.6129378531073446,0.6699344632768363,0.2,0.21540000000000004,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k6,6,0.6527683615819209,0.6795819209039548,0.16666666666666666,0.21108333333333332,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k7,7,0.6606214689265537,0.6833785310734464,0.14285714285714285,0.1961428571428571,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.k8,8,0.6734463276836158,0.686574011299435,0.125,0.1924375,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp,24,0.6878531073446327,0.6998350282485875,0.4583333333333333,0.4129791666666667,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,full,a9_dpp,dpp.ridge,25,0.691638418079096,0.6990689265536725,0.44,0.4170800000000002,0,0.0008535981178283691,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k3,3,0.642090395480226,0.6733830508474576,0.6666666666666666,0.5155,0,0.0005165636539459229,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k4,4,0.6340677966101694,0.6720858757062146,0.5,0.517375,0,0.0005165636539459229,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k5,5,0.6421468926553673,0.6764316384180792,0.4,0.5217999999999999,0,0.0005165636539459229,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k6,6,0.6643502824858757,0.6897649717514125,0.5,0.5219166666666666,0,0.0005165636539459229,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k7,7,0.6498870056497175,0.6881694915254236,0.5714285714285714,0.517,0,0.0005165636539459229,
epr_triviaqa_mistral24b,0,keep,a9_dpp,dpp.k8,8,0.6471186440677966,0.691774011299435,0.5,0.52525,0,0.0005165636539459229,
