phase_id,experiment_id,variant_id,task_id,dataset_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,comparison_group_id,status,evidence_status,display_order,axis_value,source_artifact,source_sha256,source_row_selector,source_value_field,notes
CONTEXT,P0_BRIDGE,H_STAGE4_FINALIST,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3662328341717007,,,1270,635,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,1,,results/local_online_comprehensive_v1/STAGE_4_AGGREGATE.csv,8072dd180ece6a992221a87684fee196b0dbf4c502cb376a2a3e9c071637e3eb,candidate=finalist_global_detector_local_locator;task=local,primary,Historical raw absolute score; 1270 scorer-row observations grouped as 635 source questions; not rankable with current rows.
CONTEXT,P0_BRIDGE,H_STAGE4_ENTROPY,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3614213583669282,,,1270,635,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,2,,results/local_online_comprehensive_v1/STAGE_4_AGGREGATE.csv,8072dd180ece6a992221a87684fee196b0dbf4c502cb376a2a3e9c071637e3eb,candidate=max_entropy__step_top5mean;task=local,primary,Historical transparent same-regime reference; source-question grouping verified by P0-S0.
CONTEXT,P0_BRIDGE,H_GL_LIU,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3364034489983525,,,1270,635,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,3,,results/local_online_comprehensive_v1/STAGE_4_AGGREGATE.csv,8072dd180ece6a992221a87684fee196b0dbf4c502cb376a2a3e9c071637e3eb,candidate=gl_liu_v1_replay;task=local,primary,Historical architecture context only; population count corrected by P0-S0 audit.
CONTEXT,P0_BRIDGE,H_MINDGAP,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.2645974898090595,,,1270,635,historical_stage4_eight_cell_audit,CONTEXT_ONLY,CONTEXT_ONLY,4,,results/local_online_comprehensive_v1/STAGE_4_AGGREGATE.csv,8072dd180ece6a992221a87684fee196b0dbf4c502cb376a2a3e9c071637e3eb,candidate=mind_the_gap;task=local,primary,Historical repository adaptation; not the paper deployment policy; population count corrected by P0-S0 audit.
P0,P0_BRIDGE,R2_HISTORICAL_FAMILY6_BRIDGE,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3662328341717007,,,1270,635,p0_s0_historical_replay_d12d651c,COMPLETE,RETROSPECTIVE,1,0,results/reasoning_localization_03662_v1/phase_0/p0_s0_historical_replay/P0_S0_METRICS.csv,5c3bd1d17298e2336c54fd39c0fc4e2e31bd3d1384422e293a44424bdface326,variant_id=R2_HISTORICAL_FAMILY6_BRIDGE;metric_id=macro_f1,value,Checksum-equivalent P0-S0 replay; audit only and not rankable.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.33007771561392063,,,1270,635,p0_s1_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,2,1,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_LOCAL_AGGREGATE.csv,fa2816b28339dcec68b3e596cabbc771b4dd5157b6335f2cee8874253423eadd,variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=macro_f1,value,One-factor reducer bridge; audit only and not rankable.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,exact_error,0.22882481732215776,,,1270,635,p0_s1_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,2,1,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_LOCAL_AGGREGATE.csv,fa2816b28339dcec68b3e596cabbc771b4dd5157b6335f2cee8874253423eadd,variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=exact_error,value,First-error exactness under the one-factor step-max reducer.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,clean_abstention,0.6327369035702369,,,1270,635,p0_s1_clean_abstention_d12d651c,COMPLETE,RETROSPECTIVE,2,1,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_LOCAL_AGGREGATE.csv,fa2816b28339dcec68b3e596cabbc771b4dd5157b6335f2cee8874253423eadd,variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=clean_abstention,value,Clean-trace abstention under the one-factor step-max reducer.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,within_one,0.4270416935310552,,,1270,635,p0_s1_within_one_d12d651c,COMPLETE,RETROSPECTIVE,2,1,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_LOCAL_AGGREGATE.csv,fa2816b28339dcec68b3e596cabbc771b4dd5157b6335f2cee8874253423eadd,variant_id=P0_S1_FAMILY6_STEP_MAX;metric_id=within_one,value,Within-one-step accuracy under the one-factor step-max reducer.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,CLEAN_TO_FALSE_POSITIVE,all,prediction_flip_count,4,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,10,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=CLEAN_TO_FALSE_POSITIVE,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,CLEAN_WRONG_STEP_CHANGED,all,prediction_flip_count,54,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,11,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=CLEAN_WRONG_STEP_CHANGED,count,Deterministic S0-to-S1 prediction flip audit.
