method,benchmark,metric,stratum,N,estimate,from_counts
B11_lsml,prm,within_auc,all,6030,0.7645092644315232,
B11_lsml,prm,prmscore_answer_z_q80,all,6211,0.6411851520941896,0.6411851520941896
B11_lsml,prm,within_auc,class=circular,758,0.7724505409215702,
B11_lsml,prm,within_auc,class=confidence,751,0.8022114026349736,
B11_lsml,prm,within_auc,class=correct,0,,
B11_lsml,prm,within_auc,class=counterfactual,756,0.7117143981474888,
B11_lsml,prm,within_auc,class=deception,747,0.6483754683103646,
B11_lsml,prm,within_auc,class=domain_inconsistency,757,0.823680331598163,
B11_lsml,prm,within_auc,class=missing_condition,745,0.6899695085395321,
B11_lsml,prm,within_auc,class=multi_solutions,0,,
B11_lsml,prm,within_auc,class=redundency,758,0.8480842590431571,
B11_lsml,prm,within_auc,class=step_contradiction,758,0.8169114354364801,
B11_lsml,pb,sla,macro8_context,4442,0.34798634794523764,
B11_equal,prm,within_auc,all,6030,0.7496440088369818,
B11_equal,prm,prmscore_answer_z_q80,all,6211,0.6332769090711821,0.6332769090711821
B11_equal,prm,within_auc,class=circular,758,0.7612121893312273,
B11_equal,prm,within_auc,class=confidence,751,0.7640539047756556,
B11_equal,prm,within_auc,class=correct,0,,
B11_equal,prm,within_auc,class=counterfactual,756,0.6904814649786813,
B11_equal,prm,within_auc,class=deception,747,0.6355883289500166,
B11_equal,prm,within_auc,class=domain_inconsistency,757,0.8198063369692938,
B11_equal,prm,within_auc,class=missing_condition,745,0.6961810579382,
B11_equal,prm,within_auc,class=multi_solutions,0,,
B11_equal,prm,within_auc,class=redundency,758,0.8286573373656354,
B11_equal,prm,within_auc,class=step_contradiction,758,0.7986689116952523,
B11_equal,pb,sla,macro8_context,4442,0.3494804100112263,
B11_group_equal,prm,within_auc,all,6030,0.7530841559743193,
B11_group_equal,prm,prmscore_answer_z_q80,all,6211,0.6373729270387092,0.6373729270387092
B11_group_equal,prm,within_auc,class=circular,758,0.7591703221337175,
B11_group_equal,prm,within_auc,class=confidence,751,0.7742815190545391,
B11_group_equal,prm,within_auc,class=correct,0,,
B11_group_equal,prm,within_auc,class=counterfactual,756,0.694223170662616,
B11_group_equal,prm,within_auc,class=deception,747,0.6425435243181764,
B11_group_equal,prm,within_auc,class=domain_inconsistency,757,0.8209186571541823,
B11_group_equal,prm,within_auc,class=missing_condition,745,0.6918791221854143,
B11_group_equal,prm,within_auc,class=multi_solutions,0,,
B11_group_equal,prm,within_auc,class=redundency,758,0.8312421339133906,
B11_group_equal,prm,within_auc,class=step_contradiction,758,0.8078908955818126,
