method,name,access,pb_all8,pb_clean_accuracy,pb_correct_peaks_suppressed,pb_early,pb_error_count,pb_exact_count,pb_invalid,pb_late,pb_q4,pb_q8,pb_raw_exact,prm_fold_auc,prm_pooled,prm_pooled_steps,prm_valid_answers,prm_within,prm_within_n,prmscore_answers,prmscore_conditional,prmscore_q08,valid_answers,source
all_mean,Frozen RBM12: all-token mean,answer-local; external gate and PRM calibration,0.2942882866099955,0.5008481764206955,144,1227,4442,1020,0,2195,0.3040349456401229,0.284541627579868,0.22962629446195407,0.6399660409882362,0.6396213962532719,94203,6969,0.6604987559801769,6030,6969,0.5634777506508308,0.5634777506508308,13769,
contiguous10,Frozen RBM12: best consecutive 10,answer-local; external gate and PRM calibration,0.3165272996409586,0.5008481764206955,215,1275,4442,1170,0,1997,0.32197625107385885,0.31107834820805846,0.2633948671769473,0.6799449916616674,0.6796033879802887,94203,6969,0.7047574160973094,6030,6969,0.6042454845249188,0.6042454845249188,13769,
drop_first_hierarchical,Hierarchy: remove first token,other-answer unlabelled + current-answer adaptation,0.2954571840671494,0.5008481764206955,153,1322,4442,1046,0,2074,0.3011521307859196,0.2897622373483791,0.2354795137325529,0.6474350747530944,0.6470910111137613,94203,6969,0.6668749172109633,6030,6969,0.575071439382358,0.575071439382358,13769,
drop_first_top10,Top10: remove first token,answer-local; external gate and PRM calibration,0.3635951301754675,0.5008481764206955,237,1225,4442,1443,0,1774,0.3703402550942896,0.3568500052566455,0.324853669518235,0.7094336592807293,0.7090716826684543,94203,6969,0.7438711514382497,6030,6969,0.6274685051522597,0.6274685051522597,13769,
hierarchical,Time fusion: shared + local,other-answer unlabelled + current-answer adaptation,0.29384708981069474,0.5008481764206955,145,1320,4442,1029,0,2093,0.29963780977966875,0.2880563698417208,0.23165240882485366,0.6439623966016967,0.6436413270410648,94203,6969,0.6645444120214686,6030,6969,0.572718387088336,0.572718387088336,13769,
local,Time fusion: current answer,answer-local; external gate and PRM calibration,0.2814203469101588,0.5008481764206955,150,1329,4442,968,0,2145,0.28426350385041305,0.27857718996990466,0.2179198559207564,0.6226650676923736,0.6225423017933869,94203,6969,0.6423803722732961,6030,6969,0.5776447210165732,0.5776447210165732,13769,
reference__diagonal__old,Saved RBM diagonal variance reference,answer-local; external gate and PRM calibration,0.35806949103323005,0.5008481764206955,247,1173,4442,1442,0,1827,0.36788322126251166,0.3482557608039484,0.32462854570013505,0.70495021124748,0.7047273028297086,94203,6969,0.7330448590587003,6030,6969,0.6253013416428403,0.6253013416428403,13769,
reference__entropy__old,Token entropy: Top10,answer-local; external gate and PRM calibration,0.35444376642134146,0.5008481764206955,232,1124,4442,1401,0,1917,0.3639529013997512,0.3449346314429317,0.31539846915803693,0.7030379238662297,0.7026639408146143,94203,6969,0.7301113611124386,6030,6969,0.625425539209566,0.625425539209566,13769,
reference__initial12__old,RBM12 initialization: posterior + Top10,answer-local; external gate and PRM calibration,0.3629459417341435,0.5008481764206955,222,1537,4442,1440,0,1465,0.3714627820322608,0.3544291014360264,0.32417829806393517,0.6902917377169364,0.6901095815877019,94203,6969,0.7463248825565488,6030,6969,0.6053132074697835,0.6053132074697835,13769,
reference__initial6__old,RBM6 initialization: posterior + Top10,answer-local; external gate and PRM calibration,0.35966210065316107,0.5008481764206955,206,1561,4442,1420,0,1461,0.36767337993745064,0.35165082136887144,0.3196758217019361,0.695218891299853,0.6950464031735148,94203,6969,0.744067528910734,6030,6969,0.6130847986432351,0.6130847986432351,13769,
reference__rbm12__logit_old,RBM12: logit + Top10,answer-local; external gate and PRM calibration,0.3627123083012945,0.5008481764206955,226,1286,4442,1437,0,1719,0.36981846288211506,0.3556061537204739,0.3235029266096353,0.7062049842083509,0.7058494397346221,94203,6969,0.7452044991713739,6030,6969,0.622215135338216,0.622215135338216,13769,
reference__rbm12__old,RBM12: posterior + Top10,answer-local; external gate and PRM calibration,0.36375046669893774,0.5008481764206955,244,1217,4442,1456,0,1769,0.37118546805583574,0.35631546534203984,0.32778027915353447,0.7108125617128248,0.710417498206284,94203,6969,0.7387017592037592,6030,6969,0.6292760348084029,0.6292760348084029,13769,
reference__rbm6__logit_old,RBM6: logit + Top10,answer-local; external gate and PRM calibration,0.349707841643353,0.5008481764206955,198,1570,4442,1350,0,1522,0.3565810434023544,0.34283463988435153,0.3039171544349392,0.700317801956164,0.7000044693128635,94203,6969,0.7356357370021873,6030,6969,0.622232585877287,0.622232585877287,13769,
reference__rbm6__old,RBM6: posterior + Top10,answer-local; external gate and PRM calibration,0.36201684493602676,0.5008481764206955,239,1244,4442,1455,0,1743,0.37351290000539755,0.350520789866656,0.3275551553354345,0.7084114634537172,0.7081098773075334,94203,6969,0.7359819427631672,6030,6969,0.6307492926682718,0.6307492926682718,13769,
reference__shrinkage__old,Saved RBM shrinkage reference,answer-local; external gate and PRM calibration,0.35871143187885435,0.5008481764206955,232,1305,4442,1441,0,1696,0.36697741533481043,0.35044544842289826,0.32440342188203514,0.7082592641948146,0.7079965583222773,94203,6969,0.738630248995498,6030,6969,0.6295438953640439,0.6295438953640439,13769,
reference__var15__old,Varentropy15: Top10,answer-local; external gate and PRM calibration,0.35960987290405433,0.5008481764206955,260,1120,4442,1449,0,1873,0.36635390100610593,0.3528658448020027,0.32620441242683473,0.7105331032863103,0.710137783099181,94203,6969,0.7377863024015934,6030,6969,0.6257812284738609,0.6257812284738609,13769,
reference__var15_equal__old,Varentropy15 contributions: equal weights,answer-local; external gate and PRM calibration,0.3559804364327355,0.5008481764206955,240,1080,4442,1415,0,1947,0.3612819032849405,0.3506789695805306,0.3185502026114363,0.7001582996975813,0.6999879034964627,94203,6969,0.746980350290861,6030,6969,0.6128118227013558,0.6128118227013558,13769,
reference__var15_iu__old,Varentropy15 contributions: IU-PCR,answer-local; external gate and PRM calibration,0.3534983585022531,0.5008481764206955,243,1089,4442,1408,0,1945,0.35898223922652384,0.34801447777798244,0.3169743358847366,0.7104753244529731,0.710261309641098,94203,6969,0.74682374405604,6030,6969,0.6226885909285921,0.6226885909285921,13769,
reference__var50__old,Varentropy50: Top10,answer-local; external gate and PRM calibration,0.3567552412698325,0.5008481764206955,247,1051,4442,1431,0,1960,0.36080751148342693,0.35270297105623816,0.32215218370103554,0.7162015945577326,0.7157833866814454,94203,6969,0.742464548435578,6030,6969,0.6327768738968429,0.6327768738968429,13769,
shared,Time fusion: other answers,other-answer unlabelled,0.2972799983349128,0.5008481764206955,158,1294,4442,1053,0,2095,0.30245021423598667,0.2921097824338389,0.2370553804592526,0.6490932521017561,0.6487025487082057,94203,6969,0.6699099042585208,6030,6969,0.571335231341743,0.571335231341743,13769,
shuffled,Time fusion: shuffled tokens,other-answer unlabelled + current-answer adaptation,0.2919014130834039,0.5008481764206955,142,1264,4442,1013,0,2165,0.3007078967847365,0.28309492938207126,0.22805042773525439,0.6400011368981255,0.6396807251547334,94203,6969,0.6598491654818607,6030,6969,0.5628458219735776,0.5628458219735776,13769,
supervised,Supervised time weights,other-answer labelled diagnostic,0.30242052959985466,0.5008481764206955,153,1369,4442,1073,0,2000,0.30763548117792017,0.2972055780217892,0.2415578568212517,0.6679293046201343,0.667539875333597,94203,6969,0.6810056661970925,6030,6969,0.5948304311147783,0.5948304311147783,13769,
top10,Frozen RBM12: Top10 mean,answer-local; external gate and PRM calibration,0.3627123083012945,0.5008481764206955,226,1286,4442,1437,0,1719,0.36981846288211506,0.3556061537204739,0.3235029266096353,0.7062049842083509,0.7058494397346221,94203,6969,0.7452044991713739,6030,6969,0.622215135338216,0.622215135338216,13769,
dufs6__rbm,RBM with DUFS: 6 features,answer-local unlabelled; external gate and PRM calibration,0.36123461397454537,0.5008481764206955,259,1105,4442,1455,0,1882,0.3668122865398623,0.35565694140922854,0.3275551553354345,,0.709614998379317,94203,6969,0.7409744421695785,6030,6969,0.6268468279419517,0.6268468279419517,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\dufs-moment-selection-v1\results\dufs_moment_selection_v1
correlation6__rbm,RBM with low-correlation selection: 6 features,answer-local unlabelled; external gate and PRM calibration,0.3699296068393151,0.5008481764206955,236,1335,4442,1490,0,1617,0.3806299636788678,0.3592292499997624,0.3354344889689329,,0.7085111739004859,94203,6969,0.7404904223049453,6030,6969,0.6306044464824396,0.6306044464824396,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\dufs-moment-selection-v1\results\dufs_moment_selection_v1
b12_variance_shared_logit,RBM12 shared variance: logit,answer-local unlabelled; external gate and PRM calibration,0.3618171619289084,0.5008481764206955,249,1120,4442,1450,0,1872,0.3687964875080008,0.35483783634981597,0.3264295362449347,,0.7060758281224455,94203,6969,0.747255519484499,6030,6969,0.6177751510634185,0.6177751510634185,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\variance
b12_variance_shared_posterior,RBM12 shared variance: posterior,answer-local unlabelled; external gate and PRM calibration,0.3681062471884333,0.5008481764206955,210,1938,4442,1438,0,1066,0.3784424113616961,0.3577700830151705,0.3237280504277353,,0.7105224815050455,94203,6969,0.7393573694074181,6030,6969,0.628348946818236,0.628348946818236,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-literature-completion-v1\results\rbm_literature_completion_v1\variance
