source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.34991880055168323,0.3314582602043198,0.36697096897414255,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.2658252397243057,0.24586261664664724,0.28606167708012986,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.4554252289608798,0.43354207796685584,0.4775446347827679,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5507978143477397,0.5234471234049666,0.5783132374047504,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.35975,0.34362499999999996,0.3764375,6800,3400,absolute metric under per-arm grouped five-fold atomic threshold
cell::processbench_gsm8k_qwen3_4b,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.4027518728023238,,,400,400,descriptive per-cell metric
cell::processbench_math_qwen3_4b,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.35300781454869673,,,1000,1000,descriptive per-cell metric
cell::processbench_olympiadbench_qwen3_4b,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.33737378357671327,,,1000,1000,descriptive per-cell metric
cell::processbench_omnimath_qwen3_4b,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.3229461031903331,,,1000,1000,descriptive per-cell metric
cell::processbench_gsm8k_qwen3_8b,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.3987488773961785,,,400,400,descriptive per-cell metric
cell::processbench_math_qwen3_8b,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.3421575321209112,,,1000,1000,descriptive per-cell metric
cell::processbench_olympiadbench_qwen3_8b,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.3271015467383994,,,1000,1000,descriptive per-cell metric
cell::processbench_omnimath_qwen3_8b,current_common_eight_qwen,processbench_omnimath_qwen3_8b,omnimath,macro_f1,0.31526287403991,,,1000,1000,descriptive per-cell metric
length::short::macro_f1,current_common_eight_qwen_step_length,short,short,macro_f1,0.23553134497476608,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::first_error_exact,current_common_eight_qwen_step_length,short,short,first_error_exact,0.15921795664956695,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::first_error_within_one,current_common_eight_qwen_step_length,short,short,first_error_within_one,0.3329817248380901,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::short::clean_abstention_accuracy,current_common_eight_qwen_step_length,short,short,clean_abstention_accuracy,0.5507978143477397,,,1498,1498,descriptive calibration-frozen true-error step-length stratum
length::medium::macro_f1,current_common_eight_qwen_step_length,medium,medium,macro_f1,0.3473247939595125,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::first_error_exact,current_common_eight_qwen_step_length,medium,medium,first_error_exact,0.27485676786663626,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::first_error_within_one,current_common_eight_qwen_step_length,medium,medium,first_error_within_one,0.4790235828681553,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::medium::clean_abstention_accuracy,current_common_eight_qwen_step_length,medium,medium,clean_abstention_accuracy,0.5507978143477397,,,1468,1468,descriptive calibration-frozen true-error step-length stratum
length::long::macro_f1,current_common_eight_qwen_step_length,long,long,macro_f1,0.4655436637734865,,,1476,1476,descriptive calibration-frozen true-error step-length stratum
length::long::first_error_exact,current_common_eight_qwen_step_length,long,long,first_error_exact,0.43959081044776904,,,1476,1476,descriptive calibration-frozen true-error step-length stratum
length::long::first_error_within_one,current_common_eight_qwen_step_length,long,long,first_error_within_one,0.6296453226812383,,,1476,1476,descriptive calibration-frozen true-error step-length stratum
length::long::clean_abstention_accuracy,current_common_eight_qwen_step_length,long,long,clean_abstention_accuracy,0.5507978143477397,,,1476,1476,descriptive calibration-frozen true-error step-length stratum
flip::processbench_gsm8k_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_GAIN,prediction_flip_count,9,,,9,9,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LATERAL,prediction_flip_count,40,,,40,40,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,FLIP_LOSS,prediction_flip_count,12,,,12,12,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_CORRECT,prediction_flip_count,154,,,154,154,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_4b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_4b,NO_FLIP_INCORRECT,prediction_flip_count,185,,,185,185,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_GAIN,prediction_flip_count,12,,,12,12,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LATERAL,prediction_flip_count,36,,,36,36,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_8b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,FLIP_LOSS,prediction_flip_count,13,,,13,13,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_8b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,NO_FLIP_CORRECT,prediction_flip_count,149,,,149,149,exact deterministic candidate-versus-top-ten transition count
flip::processbench_gsm8k_qwen3_8b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_gsm8k_qwen3_8b,NO_FLIP_INCORRECT,prediction_flip_count,190,,,190,190,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_GAIN,prediction_flip_count,36,,,36,36,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_LATERAL,prediction_flip_count,100,,,100,100,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,FLIP_LOSS,prediction_flip_count,33,,,33,33,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_4b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,NO_FLIP_CORRECT,prediction_flip_count,335,,,335,335,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_4b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_4b,NO_FLIP_INCORRECT,prediction_flip_count,496,,,496,496,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_8b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_8b,FLIP_GAIN,prediction_flip_count,42,,,42,42,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_8b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_8b,FLIP_LATERAL,prediction_flip_count,150,,,150,150,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_8b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_8b,FLIP_LOSS,prediction_flip_count,60,,,60,60,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_8b::NO_FLIP_CORRECT,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_8b,NO_FLIP_CORRECT,prediction_flip_count,330,,,330,330,exact deterministic candidate-versus-top-ten transition count
flip::processbench_math_qwen3_8b::NO_FLIP_INCORRECT,current_common_eight_qwen_prediction_flips,processbench_math_qwen3_8b,NO_FLIP_INCORRECT,prediction_flip_count,418,,,418,418,exact deterministic candidate-versus-top-ten transition count
flip::processbench_olympiadbench_qwen3_4b::FLIP_GAIN,current_common_eight_qwen_prediction_flips,processbench_olympiadbench_qwen3_4b,FLIP_GAIN,prediction_flip_count,42,,,42,42,exact deterministic candidate-versus-top-ten transition count
flip::processbench_olympiadbench_qwen3_4b::FLIP_LATERAL,current_common_eight_qwen_prediction_flips,processbench_olympiadbench_qwen3_4b,FLIP_LATERAL,prediction_flip_count,84,,,84,84,exact deterministic candidate-versus-top-ten transition count
flip::processbench_olympiadbench_qwen3_4b::FLIP_LOSS,current_common_eight_qwen_prediction_flips,processbench_olympiadbench_qwen3_4b,FLIP_LOSS,prediction_flip_count,32,,,32,32,exact deterministic candidate-versus-top-ten transition count
