cell,domain,arm,n,n_pos,n_min,auroc_fused,headroom_pp,headroom_sd_pp,best_k,p_isoboot,n_views_used
epr_triviaqa_mistral24b,QA,dufs_lsml,621,469,152,0.7452,-0.398,0.371,5,0.5238,19
epr_triviaqa_mistral24b,QA,upcr,621,469,152,0.7457,-0.617,0.151,5,0.8462,22
losnet_hotpotqa_mistral7b,QA,dufs_lsml,500,169,169,0.5684,-0.807,1.402,5,0.6875,12
losnet_hotpotqa_mistral7b,QA,upcr,500,169,169,0.5696,-2.395,0.911,5,0.8462,23
sciq_llama8b,QA,dufs_lsml,198,131,67,0.7408,-0.763,0.933,10,0.6471,20
sciq_llama8b,QA,upcr,198,131,67,0.739,-0.558,0.951,5,0.6111,24
se_nq_open_llama8b,QA,dufs_lsml,8460,4105,4105,0.7548,-0.234,0.058,20,1.0,16
se_nq_open_llama8b,QA,upcr,8460,4105,4105,0.7469,-0.28,0.025,20,1.0,22
se_squad_v2_llama8b,QA,dufs_lsml,2933,820,820,0.7976,-0.762,0.12,20,1.0,14
se_squad_v2_llama8b,QA,upcr,2933,820,820,0.8103,-0.969,0.179,20,1.0,23
seiclr_triviaqa_opt30b,QA,dufs_lsml,5000,2324,2324,0.7726,-0.293,0.004,20,0.7333,15
seiclr_triviaqa_opt30b,QA,upcr,5000,2324,2324,0.8119,-0.703,0.09,20,1.0,13
semenergy_triviaqa_qwen3_8b,QA,dufs_lsml,4392,2094,2094,0.7867,-0.042,0.051,20,0.3235,18
semenergy_triviaqa_qwen3_8b,QA,upcr,4392,2094,2094,0.8103,-0.58,0.056,20,1.0,21
spilled_triviaqa_llama8b,QA,dufs_lsml,256,6,6,0.9413,,,-1,,19
spilled_triviaqa_llama8b,QA,upcr,256,6,6,0.93,,,-1,,22
truthfulqa_llama8b,QA,dufs_lsml,7633,809,809,0.6606,-0.354,0.143,10,0.5789,16
truthfulqa_llama8b,QA,upcr,7633,809,809,0.6634,0.197,0.098,10,0.0701,22
ars_gsm8k_r1distill8b,math,dufs_lsml,500,364,136,0.7142,-1.065,0.598,5,0.8462,12
ars_gsm8k_r1distill8b,math,upcr,500,364,136,0.7385,-1.044,0.994,5,0.6111,17
internalstates_gsm8k_qwen25_7b,math,dufs_lsml,500,147,147,0.6911,0.525,0.192,5,0.1594,15
internalstates_gsm8k_qwen25_7b,math,upcr,500,147,147,0.7082,-0.874,0.65,5,0.6471,21
lapeigvals_gsm8k_llama3b,math,dufs_lsml,1319,587,587,0.7087,0.096,0.3,10,0.1642,17
lapeigvals_gsm8k_llama3b,math,upcr,1319,587,587,0.6992,-0.383,0.168,10,0.5,22
lapeigvals_gsm8k_llama8b,math,dufs_lsml,500,362,138,0.8149,-0.432,0.919,10,0.4583,19
lapeigvals_gsm8k_llama8b,math,upcr,500,362,138,0.8108,-1.827,0.986,5,1.0,22
lapeigvals_gsm8k_mistral24b,math,dufs_lsml,1319,1210,109,0.8413,-1.572,0.321,10,0.6875,19
lapeigvals_gsm8k_mistral24b,math,upcr,1319,1210,109,0.8486,-1.335,0.53,10,0.6111,21
lapeigvals_gsm8k_nemo,math,dufs_lsml,1319,1094,225,0.79,-0.422,0.302,10,0.55,14
lapeigvals_gsm8k_nemo,math,upcr,1319,1094,225,0.7973,-0.415,0.172,10,0.4583,20
lapeigvals_gsm8k_phi35,math,dufs_lsml,1319,1118,201,0.8064,-0.617,0.304,10,0.4583,15
lapeigvals_gsm8k_phi35,math,upcr,1319,1118,201,0.8088,-0.853,0.415,20,0.6471,18
noise_gsm8k_mistral7b,math,dufs_lsml,1319,658,658,0.7732,0.082,0.177,10,0.1528,17
noise_gsm8k_mistral7b,math,upcr,1319,658,658,0.7831,-0.342,0.117,10,0.7333,23
noise_gsm8k_phi3mini,math,dufs_lsml,1319,936,383,0.6764,-0.57,0.14,5,0.7333,10
noise_gsm8k_phi3mini,math,upcr,1319,936,383,0.6831,-0.707,0.629,10,0.9167,20
math500_dsmath7b,math,dufs_lsml,300,57,57,0.7924,0.354,0.699,10,0.141,16
math500_dsmath7b,math,upcr,300,57,57,0.7865,-0.592,0.138,10,0.4783,24
math500_qwenmath7b,math,dufs_lsml,300,68,68,0.9178,0.977,1.094,20,0.1618,23
math500_qwenmath7b,math,upcr,300,68,68,0.9155,1.382,0.398,20,0.02,8
math500_r1distill8b,math,dufs_lsml,300,86,86,0.8323,-0.975,0.244,5,0.6471,20
math500_r1distill8b,math,upcr,300,86,86,0.8386,-0.351,0.178,5,0.6471,22
math500_r1distill8b_mn4096,math,dufs_lsml,300,117,117,0.8194,-0.349,0.815,10,0.6875,20
math500_r1distill8b_mn4096,math,upcr,300,117,117,0.8358,-1.422,1.068,10,0.9167,26
trace_gsm8k_llama8b_k10,math,dufs_lsml,5000,3680,1320,0.8115,-0.148,0.051,20,0.4783,21
trace_gsm8k_llama8b_k10,math,upcr,5000,3680,1320,0.8113,-0.185,0.014,20,0.3143,22
trace_math500_qwenmath15b_k10,math,dufs_lsml,3000,529,529,0.6901,-0.339,0.224,20,0.8462,20
trace_math500_qwenmath15b_k10,math,upcr,3000,529,529,0.6861,-0.035,0.084,5,0.193,23
