selector,variant,pool_mode,domain,cell,n,p_pool,chosen,size,auroc,eval_mode,pctile_within_size,rand_med,K,residual,fusion,flipped,fallback,seconds,seed,diag_json
a7_iter_consensus,a7.iter_consensus,c46,repgrid,ars_gsm8k_r1distill8b,500,30,low_band_power|hl_ratio|spectral_centroid|cusum_max|cusum_max_spilled|cusum_max_energy,6,0.6389382676147382,live,nan,0.6799248545572074,2,4.422703769103566,lsml,True,False,0.246,0,"{""k_star"": 6, ""n_iter"": 2, ""final_residual"": 4.422703769103567}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,epr_triviaqa_mistral24b,621,28,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.7384973628100102,live,nan,0.7160742340926944,2,5.364194013863841,lsml,False,False,0.169,0,"{""k_star"": 4, ""n_iter"": 3, ""final_residual"": 5.364194013863843}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,inside_coqa_llama7b,4504,27,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,5,0.5713189882535374,live,nan,0.5087573582490237,2,10.39304601098343,lsml,False,False,0.29,0,"{""k_star"": 5, ""n_iter"": 3, ""final_residual"": 10.393046010983431}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,internalstates_gsm8k_qwen25_7b,500,29,spectral_centroid|sw_var_peak|cusum_max|cusum_max_spilled|topk_tail_mass,5,0.7002177641594881,live,nan,0.6753579618816365,2,4.10001364716431,lsml,False,False,0.182,0,"{""k_star"": 5, ""n_iter"": 2, ""final_residual"": 4.100013647164311}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,lapeigvals_gsm8k_llama3b,1319,30,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.7058582586272703,live,nan,0.6753544465234916,2,5.470496939482539,lsml,False,False,0.19,0,"{""k_star"": 4, ""n_iter"": 4, ""final_residual"": 5.470496939482539}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,lapeigvals_gsm8k_llama8b,500,29,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.7820081671871247,live,nan,0.7850008007046201,2,5.483248053436979,lsml,False,False,0.189,0,"{""k_star"": 4, ""n_iter"": 4, ""final_residual"": 5.483248053436979}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,lapeigvals_gsm8k_mistral24b,1319,30,epr|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2,4,0.845371142618849,live,nan,0.8064371825005686,2,5.462634897814044,lsml,False,False,0.191,0,"{""k_star"": 4, ""n_iter"": 4, ""final_residual"": 5.462634897814044}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,lapeigvals_gsm8k_nemo,1319,29,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,5,0.7676904326630103,live,nan,0.7616331505179769,2,10.371975509723358,lsml,False,False,0.393,0,"{""k_star"": 5, ""n_iter"": 5, ""final_residual"": 10.371975509723356}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,lapeigvals_gsm8k_phi35,1319,29,low_band_power|spectral_centroid|cusum_max|cusum_max_spilled|topk_tail_mass,5,0.7452273516140229,live,nan,0.7403256525956977,2,3.890121716151933,lsml,False,False,0.222,0,"{""k_star"": 5, ""n_iter"": 2, ""final_residual"": 3.890121716151932}"
a7_iter_consensus,a7.iter_consensus,c46,repgrid,losnet_hotpotqa_mistral7b,500,29,sw_var_peak|cusum_max|cusum_max_spilled|renyi_entropy_2|topk_tail_mass,5,0.5711757450079551,live,nan,0.5645435206206761,2,2.904023267331125,lsml,False,False,0.266,0,"{""k_star"": 5, ""n_iter"": 3, ""final_residual"": 2.904023267331124}"
