domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,10,0.6163700000000001,0.5583899999999999,0.56853,0.60273,0.6081,0.05798000000000014
gpqa,Llama-8B_T1.0,198,10,0.60042,0.49759000000000003,0.51452,0.51621,0.5722,0.10282999999999992
gpqa,Mistral-7B_T1.0,198,10,0.54755,0.44292,0.41242999999999996,0.56074,0.6014,0.10463
gpqa,Qwen-7B_T1.0,198,10,0.61639,0.50216,0.52778,0.47834000000000004,0.5967,0.11422999999999994
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,10,0.62908,0.46972,0.50431,0.44813000000000003,0.6604,0.15935999999999995
gsm8k,Llama-8B_T1.0,1319,10,0.75978,0.74961,0.76063,0.76747,0.7655,0.010170000000000012
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,300,10,0.8635299999999999,0.83883,0.8464,0.8566699999999999,0.8611000000000001,0.024699999999999944
math500,Qwen-Math-7B_T1.5,300,10,0.95014,0.94457,0.9505100000000001,0.95534,0.9585000000000001,0.005569999999999964
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,10,0.86901,0.88879,0.88093,0.8996700000000001,0.8863,-0.01978000000000002
math500,deepseek-math-7b-instruct_T1.5,300,10,0.77639,0.68352,0.69001,0.71766,0.7475,0.09287000000000001
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,10,0.7241,0.67239,0.6554,0.57946,0.7151,0.05170999999999992
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,2,1.0,0.8400000000000001,0.84,0.88,1.0,0.15999999999999992
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,10,0.66803,0.62136,0.65849,0.66639,0.6728,0.04666999999999999
rag,Llama-8B/2wikimultihopqa,99,10,0.6374,0.53103,0.6063799999999999,0.66358,0.7184,0.10636999999999996
rag,Llama-8B/hotpotqa,93,10,0.9137700000000001,0.81746,0.7700400000000001,0.8026899999999999,0.8847000000000002,0.09631000000000012
rag,Llama-8B/narrativeqa,459,10,0.6739200000000001,0.60823,0.58729,0.59539,0.6513,0.06569000000000003
rag,Llama-8B/natural-questions,121,10,0.71663,0.58979,0.64325,0.386,0.7146,0.12683999999999995
rag,Mistral-24B/2wikimultihopqa,47,10,0.6232800000000001,0.53103,0.49146999999999996,0.48197,0.7417,0.09225000000000005
rag,Mistral-24B/hotpotqa,46,10,0.77156,0.56654,0.61559,0.64452,0.7738,0.20501999999999998
rag,Mistral-24B/narrativeqa,238,10,0.7212500000000001,0.5452899999999999,0.56941,0.58724,0.6734,0.17596000000000012
rag,Mistral-24B/natural-questions,44,10,0.77159,0.47714,0.50056,0.50153,0.7714,0.29445
rag,Qwen-72B/2wikimultihopqa,198,10,0.68256,0.5555399999999999,0.51205,0.65367,0.6681,0.12702000000000002
rag,Qwen-72B/hotpotqa,169,10,0.82659,0.72581,0.71902,0.78185,0.7988,0.10078000000000009
rag,Qwen-72B/narrativeqa,345,10,0.7017599999999999,0.6156699999999999,0.60347,0.67477,0.6742,0.08609
rag,Qwen-72B/natural-questions,171,10,0.7249,0.57607,0.6386700000000001,0.63522,0.6922,0.14883000000000002
rag,Qwen-7B/2wikimultihopqa,192,10,0.79992,0.5211,0.47302,0.40115999999999996,0.7741,0.27881999999999996
rag,Qwen-7B/hotpotqa,169,10,0.78583,0.64395,0.67855,0.72896,0.7788,0.14188
rag,Qwen-7B/narrativeqa,235,10,0.77098,0.60788,0.60729,0.67976,0.7239,0.16310000000000002
rag,Qwen-7B/natural-questions,103,10,0.84278,0.55419,0.5804199999999999,0.63106,0.7599,0.28859
repgrid,ars_gsm8k_r1distill8b,500,10,0.7868700000000001,0.7289,0.69218,0.66798,0.779,0.05797000000000008
repgrid,epr_triviaqa_mistral24b,621,10,0.73375,0.7168,0.7017800000000001,0.72029,0.7384,0.01695000000000002
repgrid,inside_coqa_llama7b,4504,10,0.62562,0.59784,0.68357,0.71971,0.7227,0.027779999999999916
repgrid,internalstates_gsm8k_qwen25_7b,500,10,0.7317199999999999,0.67274,0.64349,0.7146399999999999,0.7283,0.05897999999999992
repgrid,lapeigvals_gsm8k_llama3b,1319,10,0.70332,0.69702,0.68923,0.67406,0.7096,0.006299999999999972
repgrid,lapeigvals_gsm8k_llama8b,500,10,0.8258699999999999,0.8060700000000001,0.8150700000000001,0.82994,0.8279,0.019799999999999818
repgrid,lapeigvals_gsm8k_mistral24b,1319,10,0.85951,0.84698,0.78789,0.84738,0.8693,0.012530000000000041
repgrid,lapeigvals_gsm8k_nemo,1319,10,0.81042,0.7727999999999999,0.7756000000000001,0.8085699999999999,0.8139999999999998,0.0376200000000001
repgrid,lapeigvals_gsm8k_phi35,1319,10,0.8139,0.79781,0.80282,0.81456,0.8176,0.016089999999999938
repgrid,losnet_hotpotqa_mistral7b,500,10,0.6284500000000001,0.57875,0.5697599999999999,0.59435,0.6107,0.04970000000000008
repgrid,noise_gsm8k_mistral7b,1319,10,0.81361,0.81436,0.78908,0.8204,0.8183,-0.0007499999999999174
repgrid,noise_gsm8k_phi3mini,1319,10,0.683,0.67121,0.66259,0.6790499999999999,0.6935,0.011790000000000078
repgrid,sciq_llama8b,198,10,0.76069,0.7206699999999999,0.74659,0.76938,0.7609,0.040020000000000056
repgrid,se_nq_open_llama8b,8460,10,0.73863,0.7385900000000001,0.71753,0.721,0.7428,3.999999999992898e-05
repgrid,se_squad_v2_llama8b,2933,10,0.81843,0.81422,0.79872,0.81667,0.8181,0.004209999999999936
repgrid,seiclr_triviaqa_opt30b,4993,10,0.62361,0.61265,0.59324,0.62434,0.6325,0.01095999999999997
repgrid,semenergy_triviaqa_qwen3_8b,4392,10,0.80568,0.8084300000000001,0.8043699999999999,0.81175,0.8093999999999999,-0.0027500000000001412
repgrid,spilled_triviaqa_llama8b,256,9,0.9841888888888888,0.8971,0.929,0.9774888888888889,0.9827,0.08708888888888877
repgrid,truthfulqa_llama8b,7633,10,0.68666,0.67782,0.65569,0.68494,0.6878,0.00884000000000007
trace,gpqa_r1_7b_raw,150,10,0.62404,0.50912,0.44279999999999997,0.42641999999999997,0.6088,0.11492000000000002
trace,gsm8k_llama8b_raw,200,10,0.7823800000000001,0.74269,0.7738799999999999,0.7116100000000001,0.7983,0.039690000000000114
trace,math500_qwen1.5b_raw,400,10,0.7012400000000001,0.67062,0.64642,0.67947,0.6939,0.03062000000000009
