candidate,model,family,unit,task,target,locator,prediction
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,1
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,1
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,1
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,1
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,-1
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-1,local,1,1,-1
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-105,local,1,2,2
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-108,local,1,6,6
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-108,local,1,7,7
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-108,local,1,7,7
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-108,local,1,7,7
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-108,local,1,6,6
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-108,local,1,7,7
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-109,local,1,1,1
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-112,local,2,2,2
HISTDET_HISTLOC,qwen3_8b,gsm8k,gsm8k-124,local,0,2,2
HISTDET_H0LOC,qwen3_8b,gsm8k,gsm8k-124,local,0,0,0
HISTDET_H2LOC,qwen3_8b,gsm8k,gsm8k-124,local,0,2,2
HISTDET_H3LOC,qwen3_8b,gsm8k,gsm8k-124,local,0,2,2
H0DET_HISTLOC,qwen3_8b,gsm8k,gsm8k-124,local,0,2,2
H0DET_H3LOC,qwen3_8b,gsm8k,gsm8k-124,local,0,2,2
