calibration_hash,cell_id,ever_warning,family,first_warning_budget,fold,group_id,label,method_id,population_id,row_id,target,threshold
5f720b2893c07fa5c6ca728737d1600a08f4e78445af5bbdbc1c9942c7106c14,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,historical_deepconf_entropy_w64_proxy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_05,1.366123269312084
0c8681e7304afa942c911afb72e9b4646b873aa73106be3887384f67373b5eb5,processbench@e8024636bcab::llama31_8b::gsm8k,true,gsm8k,512,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,historical_deepconf_entropy_w64_proxy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_10,1.2057371422101826
98f85f48cc7079f2e1b7a8823a14b9f9fe7b7a69764056deb781a00faf3b7bc3,processbench@e8024636bcab::llama31_8b::gsm8k,true,gsm8k,512,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,iu28_no_length,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_05,1.7183939976092262
090434be697edf497cb707b1b291c556b7a69857af367998214db8959196b8ec,processbench@e8024636bcab::llama31_8b::gsm8k,true,gsm8k,512,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,iu28_no_length,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_10,1.585798255242484
40dc9429aef728a206c8888fc6d40a7824f815faeb295f839719546d08c4bca6,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,max_entropy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_05,2.6220417022705083
91b587d0b43ca5aab8c0780fc88b7e4e8534d771f9c488cbaa18befd0e34ab6b,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,max_entropy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_10,2.5997717380523686
f55eafae72c5f3574939f6ea53cebcfdd83a51c2aaddef69b6c47ad04f0e8651,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,mean_entropy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_05,0.9908750882023015
036b4405f4e7772a80ba9f22c7dcb6fa6e89da2fa0e5132b6f52e50ec995bad2,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,mean_entropy,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_10,0.9068072647114606
de855cdaebe36425d39e2f2886e9105f66c81ca013cf0369d91815067550dd88,processbench@e8024636bcab::llama31_8b::gsm8k,false,gsm8k,,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,step272_two_head_global_local_w0p50_peak,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_05,5.640830324881521
24f2cd27c0f6cecec0671579c4eac060d5dce5b931286494027228b3a1efd465,processbench@e8024636bcab::llama31_8b::gsm8k,true,gsm8k,512,3,processbench@e8024636bcab::gsm8k::gsm8k-193,1,step272_two_head_global_local_w0p50_peak,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,processbench@e8024636bcab::gsm8k::gsm8k-193,fpr_10,1.6480103416853769
