variant_id,gate_id,observed,threshold,direction,passed,status,evidence_status,notes
C1_ENT_SW16,P2A_SCORE_FREEZE_COMPLETE,8,8 cells,contract,true,COMPLETE,DEVELOPMENT,both atomic reference and C1 scores froze before labels opened; raw status=PASS
C1_ENT_SW16,P2A_LABEL_FIREWALL,labels opened after complete score-freeze manifest,no fit-side labels or targets,contract,true,COMPLETE,DEVELOPMENT,"C1 transform, reduction, and fusion are label-free; raw status=PASS"
C1_ENT_SW16,P2A_TOP10_LOCAL_ALIAS,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,atomic top-ten local scores reproduce Stage-A top-ten; raw status=PASS
C1_ENT_SW16,P2A_TOP10_COMBINED_ALIAS,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,atomic top-ten combined scores reproduce Stage-A top-ten before threshold refit; raw status=PASS
C1_ENT_SW16,C1_SUFFIX_INVARIANCE,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,every response passed deterministic prefix replay cuts; raw status=PASS
C1_ENT_SW16,C1_WORST_CELL_HARD_BOUND,-0.0312492627344505,>=-0.03,contract,false,COMPLETE,DEVELOPMENT,minimum across both required comparators; raw status=HARD_FAIL
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_POINT_BENEFIT,-0.010626959746733666,>=0.005,contract,false,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=FAIL
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_CI_BENEFIT,-0.02169207425332418,>0.005,contract,false,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=FAIL
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_NONNEGATIVE_CELLS,1,>=6,contract,false,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=FAIL
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_WORST_CELL,-0.0312492627344505,>=-0.02,contract,false,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=FAIL
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_EXACT_ERROR,-0.008948398896106546,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=PASS
C1_ENT_SW16,C1_VS_P2A_TOPK10_REFERENCE_CLEAN_ABSTENTION,-0.016826993656108846,>=-0.01,contract,false,COMPLETE,DEVELOPMENT,C1 versus P2A_TOPK10_REFERENCE; raw status=FAIL
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_POINT_BENEFIT,0.001347287674294595,>=0.005,contract,false,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=FAIL
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_CI_BENEFIT,-0.009004425943849636,>0.005,contract,false,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=FAIL
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_NONNEGATIVE_CELLS,5,>=6,contract,false,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=FAIL
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_WORST_CELL,-0.015150696922816953,>=-0.02,contract,true,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=PASS
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_EXACT_ERROR,-0.00045449728489260766,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=PASS
C1_ENT_SW16,C1_VS_R1_ENTROPY_TOP5_CLEAN_ABSTENTION,0.0017516070674378215,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,C1 versus R1_ENTROPY_TOP5; raw status=PASS
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_POINT_BENEFIT,-0.010626959746733666,>=0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_CI_PRACTICAL_BENEFIT,-0.02511313395783137,>0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_NONNEGATIVE_CELLS,1,>=6,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_WORST_CELL,-0.0312492627344505,>=-0.02,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_EXACT_ERROR,-0.008948398896106546,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_P2A_TOPK10_REFERENCE_CLEAN_ABSTENTION,-0.016826993656108846,>=-0.01,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus P2A_TOPK10_REFERENCE
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_POINT_BENEFIT,0.001347287674294595,>=0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_CI_PRACTICAL_BENEFIT,-0.012175058676715901,>0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_NONNEGATIVE_CELLS,5,>=6,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_WORST_CELL,-0.015150696922816953,>=-0.02,contract,true,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_EXACT_ERROR,-0.00045449728489260766,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_VS_R1_ENTROPY_TOP5_CLEAN_ABSTENTION,0.0017516070674378215,>=-0.01,contract,true,COMPLETE,DEVELOPMENT,closed 16-contrast family; C1_ENT_SW16 versus R1_ENTROPY_TOP5
C1_ENT_SW16,C1_ENT_SW16_FINAL_PROMOTION,false,eligible and all hard/primary/component gates pass,contract,false,COMPLETE,DEVELOPMENT,final atomic decision after full multiplicity closure
C2_ENT_SWADAPT,P2A_SCORE_FREEZE_COMPLETE,8,8 cells,contract,true,COMPLETE,DEVELOPMENT,reference and C2 scores froze before labels; raw status=PASS
C2_ENT_SWADAPT,P2A_LABEL_FIREWALL,labels opened after score freeze,no fit-side labels or targets,contract,true,COMPLETE,DEVELOPMENT,adaptive transform and fusion are label-free; raw status=PASS
C2_ENT_SWADAPT,P2A_TOP10_LOCAL_ALIAS,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,atomic top-ten local alias; raw status=PASS
C2_ENT_SWADAPT,P2A_TOP10_COMBINED_ALIAS,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,atomic top-ten combined alias; raw status=PASS
C2_ENT_SWADAPT,C2_SUFFIX_INVARIANCE,0.0,<=1e-12,contract,true,COMPLETE,DEVELOPMENT,deterministic adaptive prefix replay; raw status=PASS
C2_ENT_SWADAPT,C2_WORST_CELL_HARD_BOUND,-0.053385448454684015,>=-0.03,contract,false,COMPLETE,DEVELOPMENT,minimum across both required comparators; raw status=HARD_FAIL
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_POINT_BENEFIT,-0.020907289602071277,>=0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_CI_PRACTICAL_BENEFIT,-0.03858478800853219,>0.005,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_NONNEGATIVE_CELLS,0,>=6,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_WORST_CELL,-0.053385448454684015,>=-0.02,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_EXACT_ERROR,-0.021620298115891057,>=-0.01,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
C2_ENT_SWADAPT,C2_ENT_SWADAPT_VS_P2A_TOPK10_REFERENCE_CLEAN_ABSTENTION,-0.015260016652750119,>=-0.01,contract,false,COMPLETE,DEVELOPMENT,closed 16-contrast family; C2_ENT_SWADAPT versus P2A_TOPK10_REFERENCE
