target_cell,contract,strategy,family_basis,source_count,source_cells_json,selected_eigenvalue,distance_from_unit,unit_distance_gap,direction_json,correction_scale,baseline_correction_covariance
gsm8k_t1.0,depth,lodo,relative-depth-quartiles,6,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""triviaqa_qwen3_t0.6""]",0.746996620996304,0.25300337900369596,0.1552812633811761,"[-0.5413348538105018, 0.5387718913226015, 0.4704809201255886, -0.4419605513712827]",0.24999999999999997,6.938893903907228e-17
gsm8k_t1.0,depth,lomo,relative-depth-quartiles,7,"[""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",0.8422886043804053,0.15771139561959469,0.23837064119102525,"[0.6065475901548089, -0.5677853840603274, -0.37345145422064024, 0.41261821320119774]",0.25,-9.266780891024492e-17
gsm8k_t1.0,depth,loco,relative-depth-quartiles,12,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",0.7758504070851999,0.22414959291480008,0.2028160937899267,"[0.6105414256342505, -0.5767535777730594, -0.36980878311378607, 0.3972857183971927]",0.25,-9.401082063358181e-17
gsm8k_t1.0,lens,lodo,module-by-metric,6,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""triviaqa_qwen3_t0.6""]",0.8901215052463578,0.1098784947536422,0.05997365739969529,"[-0.18141946891141272, 0.4508032679286658, -0.23274835998473958, -0.007692025212691969, 0.003959687174107435, 0.6125180059191162, -0.004213522708945186, -0.009243716446957335, -0.3686672029782926, 0.23107485374095593, -0.3796219444263908, 0.030188102937164948]",0.08333333333333334,-1.119176436114069e-18
gsm8k_t1.0,lens,lomo,module-by-metric,7,"[""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",1.106567074251069,0.10656707425106893,0.17334819386751743,"[-0.14918123839719694, 0.28449255964977815, -0.16538159419441856, -0.03725749352578332, -0.0024033761853991123, 0.5288278500849726, -0.05431964594370394, -0.07318261366737422, -0.42648868300188564, 0.4714365306263862, -0.41504250476555277, 0.060773999959479644]",0.08333333333333333,2.574105803062359e-18
gsm8k_t1.0,lens,loco,module-by-metric,12,"[""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",1.0002095204772157,0.00020952047721567446,0.24411439945949232,"[-0.162241624532855, 0.3816700991514057, -0.19425765682390808, -0.020074641768378903, -0.015598466676839666, 0.5518640087258911, -0.051598632079405314, -0.05331084050343067, -0.4053882318068135, 0.39054312855292156, -0.40178098024391795, 0.03568461202542356]",0.08333333333333334,7.834235052798483e-19
triviaqa_t1.0,depth,lodo,relative-depth-quartiles,11,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",0.7529055721327818,0.24709442786721825,0.17522967158832803,"[0.6187688398581046, -0.573762033253752, -0.35190802772538976, 0.40507158878351596]",0.25,-2.9665159217984184e-16
triviaqa_t1.0,depth,lomo,relative-depth-quartiles,7,"[""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",0.8422886043804053,0.15771139561959469,0.23837064119102525,"[0.6065475901548089, -0.5677853840603274, -0.37345145422064024, 0.41261821320119774]",0.25,-3.0109248427834247e-16
triviaqa_t1.0,depth,loco,relative-depth-quartiles,12,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0"", ""triviaqa_qwen3_t0.6""]",0.7778477025727508,0.22215229742724918,0.1739761999280398,"[0.5873254463615032, -0.5534234398032908, -0.39940495564021555, 0.43502528402679297]",0.25,-3.1175062531474394e-16
triviaqa_t1.0,lens,lodo,module-by-metric,11,"[""gsm8k_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_mistral24b_t1.0"", ""gsm8k_nemo_t1.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",1.0109097155566498,0.010909715556649768,0.2242471519829915,"[-0.1446259737498017, 0.41210563685597207, -0.17711147780024408, -0.02069905184216531, 0.02216102502619807, 0.5497045665444644, -0.028135625336686745, -0.051443257740908306, -0.40948832830868837, 0.36962314490881554, -0.40813602468070515, 0.021774454461037002]",0.08333333333333334,6.8833827526759705e-18
