idx,cohort,cell,steps,tokens,step_share,rank_oracle,best_readout,contains_max,contains_top3,inside_minus_outside,rank_top10,rank_max,rank_mean,rank_median,rank_tophalf,rank_first4,rank_last4,rank_top3
0,caught,pb_gsm8k_q4,4,302,0.4470198675496689,1,top10,True,True,0.3615839724605632,1,1,1,1,1,2,2,1
1,caught,pb_gsm8k_q4,7,354,0.3926553672316384,1,top10,True,True,1.0208375185500884,1,2,5,4,5,1,5,1
2,caught,pb_gsm8k_q4,5,362,0.23756906077348067,3,top10,True,True,0.04404812967827465,3,4,3,3,3,5,3,3
3,caught,pb_gsm8k_q4,3,261,0.5325670498084292,1,top10,True,True,1.074797025913266,1,1,1,1,1,1,1,1
4,caught,pb_gsm8k_q4,5,281,0.24555160142348753,1,max,True,True,1.2952284065476318,2,1,3,2,2,2,3,2
5,caught,pb_gsm8k_q4,3,333,0.5165165165165165,1,top10,True,True,0.5255378914816724,1,2,1,1,2,1,1,1
6,caught,pb_gsm8k_q4,7,313,0.13738019169329074,1,top10,True,True,0.6386777994313744,1,1,1,1,1,1,2,1
7,caught,pb_gsm8k_q4,6,468,0.29914529914529914,1,top10,True,True,0.4837048781610118,1,1,1,1,1,4,1,1
8,caught,pb_gsm8k_q4,4,530,0.2830188679245283,1,max,True,True,0.30924557856531987,2,1,3,4,3,1,2,1
9,caught,pb_gsm8k_q4,4,436,0.32339449541284404,2,top10,False,True,-0.07638606687733018,2,3,3,3,3,3,3,3
10,caught,pb_gsm8k_q4,4,216,0.3333333333333333,1,top10,True,True,0.503896580054092,1,2,2,1,1,2,3,1
11,caught,pb_gsm8k_q4,10,374,0.07754010695187166,3,top3,False,True,-0.08019490477079838,4,5,4,4,4,4,4,3
12,caught,pb_gsm8k_q4,8,426,0.14788732394366197,1,top10,True,True,0.48961405229112254,1,1,1,1,1,1,1,1
13,loc_miss_open,pb_gsm8k_q4,6,431,0.19489559164733178,4,top10,False,True,-0.2041232812976599,4,5,5,4,5,4,5,5
14,gate_blocked,pb_gsm8k_q4,6,337,0.14836795252225518,1,last4,True,True,0.047278181647052,2,3,3,2,2,2,1,2
15,caught,pb_gsm8k_q4,3,216,0.4675925925925926,1,top10,True,True,0.16851284585511483,1,1,3,3,1,1,3,1
16,caught,pb_gsm8k_q4,5,343,0.4227405247813411,1,top10,True,True,0.17345063804691785,1,2,4,3,3,1,4,1
17,loc_miss_open,pb_gsm8k_q4,7,420,0.26904761904761904,1,last4,True,True,0.1307330659724686,3,3,5,5,5,7,1,3
18,caught,pb_gsm8k_q4,4,363,0.2534435261707989,2,top10,True,True,0.1023632777981427,2,3,4,4,3,2,2,2
19,gate_blocked,pb_gsm8k_q4,5,245,0.3224489795918367,1,top10,True,True,1.7339919061032245,1,1,1,1,1,4,2,1
20,loc_miss_open,pb_gsm8k_q4,6,305,0.2360655737704918,2,first4,False,False,-0.20679603052559092,4,3,3,4,5,2,2,5
21,loc_miss_open,pb_gsm8k_q4,4,184,0.07065217391304347,2,last4,False,False,-0.46769726545109047,4,4,3,3,3,3,2,4
22,caught,pb_gsm8k_q4,4,167,0.23353293413173654,1,median,False,False,-0.32953470336679813,3,4,3,1,2,2,3,3
23,caught,pb_gsm8k_q4,6,405,0.22962962962962963,3,top10,False,False,-0.3381016641406014,3,6,4,4,5,5,5,4
24,caught,pb_gsm8k_q4,7,297,0.2053872053872054,1,top10,True,True,0.5832538574710942,1,1,1,1,1,4,3,1
25,caught,pb_gsm8k_q4,8,497,0.2152917505030181,1,top10,True,True,0.4370576269389299,1,1,2,3,3,5,1,1
26,caught,pb_gsm8k_q4,7,273,0.20512820512820512,3,top10,False,True,-0.16281667866106342,3,4,3,3,3,3,4,3
27,gate_blocked,pb_gsm8k_q4,4,214,0.4392523364485981,1,top10,True,True,0.265761184788158,1,1,4,4,3,4,1,1
28,loc_miss_open,pb_gsm8k_q4,6,270,0.06666666666666667,2,mean,False,True,-0.04190989329503125,6,5,2,3,2,2,2,5
29,caught,pb_gsm8k_q4,4,233,0.34334763948497854,1,top10,True,True,0.5694236984762844,1,2,3,2,2,4,1,2
30,gate_blocked,pb_gsm8k_q4,6,379,0.19525065963060687,1,first4,False,True,-0.025550517724652,2,2,3,2,3,1,2,2
31,gate_blocked,pb_gsm8k_q4,2,71,0.647887323943662,1,top10,False,True,-0.3591089647710075,1,2,2,1,1,2,1,2
32,gate_blocked,pb_gsm8k_q4,5,272,0.26838235294117646,2,top10,True,True,0.14471563090836437,2,3,4,3,4,4,4,3
33,gate_blocked,pb_gsm8k_q4,4,163,0.4294478527607362,1,top10,True,True,0.09898428192432851,1,2,4,4,1,3,1,1
34,caught,pb_gsm8k_q4,6,227,0.2290748898678414,1,top10,True,True,0.11932406908773197,1,2,3,3,2,1,1,1
35,caught,pb_gsm8k_q4,4,297,0.3939393939393939,1,top10,True,True,0.9218367120188153,1,2,1,1,1,2,2,1
36,caught,pb_gsm8k_q4,5,350,0.17714285714285713,1,top10,True,True,1.2861531493810738,1,1,1,1,1,4,1,1
37,caught,pb_gsm8k_q4,4,222,0.3963963963963964,1,top10,True,True,1.178278088632383,1,1,1,1,1,2,1,1
38,caught,pb_gsm8k_q4,4,161,0.32919254658385094,1,top10,True,True,1.6607896937400364,1,1,2,1,1,1,3,1
39,caught,pb_gsm8k_q4,6,319,0.3166144200626959,1,top10,True,True,0.3257834459117652,1,2,2,3,1,1,3,2
40,caught,pb_gsm8k_q4,5,395,0.14177215189873418,2,first4,False,True,-0.00010949104348290106,5,3,5,5,4,2,5,3
41,caught,pb_gsm8k_q4,5,550,0.4618181818181818,1,max,True,True,0.15294744725996434,2,1,3,2,2,5,2,2
42,caught,pb_gsm8k_q4,4,296,0.36824324324324326,1,top10,True,True,0.4303886293132524,1,1,3,1,1,1,1,1
43,caught,pb_gsm8k_q4,5,416,0.20673076923076922,2,first4,False,True,-0.07898776742711955,3,3,3,3,3,2,4,3
44,loc_miss_open,pb_gsm8k_q4,4,289,0.1972318339100346,2,top10,True,True,0.4057968306065485,2,2,3,2,2,2,4,2
