cell,group,n,cap,at_cap,med_len,med_ans,runon,ans_frac
epr_triviaqa_mistral24b,QA,1000,64,6.0,13,10,7.1,90.0
inside_coqa_llama7b,QA,5000,256,73.4,256,2,85.1,2.0
losnet_hotpotqa_mistral7b,QA,500,512,1.0,213,44,98.8,20.1
sciq_llama8b,QA,1000,196,0.1,5,4,15.9,75.0
se_nq_open_llama8b,QA,10000,128,2.5,22,19,7.9,94.7
se_squad_v2_llama8b,QA,10000,198,0.0,5,4,1.0,80.0
seiclr_triviaqa_opt30b,QA,5000,64,99.7,64,3,99.8,4.7
semenergy_triviaqa_qwen3_8b,QA,5000,64,0.4,11,10,0.0,90.9
spilled_triviaqa_llama8b,QA,500,256,0.4,8,7,1.8,85.7
truthfulqa_llama8b,QA,8170,128,21.1,53,35,27.8,95.7
ars_gsm8k_r1distill8b,math,500,1406,0.2,433,32,100.0,7.9
internalstates_gsm8k_qwen25_7b,math,500,2048,0.2,324,16,100.0,5.5
lapeigvals_gsm8k_llama3b,math,1319,888,0.1,214,24,100.0,11.0
lapeigvals_gsm8k_llama8b,math,500,2048,0.4,234,24,100.0,10.2
lapeigvals_gsm8k_mistral24b,math,1319,760,0.1,242,14,100.0,6.2
lapeigvals_gsm8k_nemo,math,1319,1915,0.1,257,10,100.0,4.4
lapeigvals_gsm8k_phi35,math,1319,2048,0.1,295,17,100.0,5.8
noise_gsm8k_mistral7b,math,1319,2048,0.1,295,18,100.0,6.0
noise_gsm8k_phi3mini,math,1319,1552,0.1,249,17,99.9,7.5
math500_dsmath7b,math,300,2048,3.0,433,51,94.0,12.7
math500_qwenmath7b,math,300,2048,72.0,2048,52,100.0,3.3
math500_r1distill8b,math,300,2048,63.3,2048,47,100.0,3.6
math500_r1distill8b_mn4096,math,300,4096,51.0,4096,48,100.0,2.2
trace_gsm8k_llama8b_k10,math,5000,2048,0.2,232,23,100.0,9.8
trace_math500_qwenmath15b_k10,math,3000,2048,1.8,467,47,99.9,10.4
