contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3E1_DYNAMICS_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::official_macro_f1,P3E1_DYNAMICS_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,macro_f1,0.002592247462669728,-0.0018388870156779019,0.00719432039789189,PROMISING_UNCONFIRMED,6,0,2,-0.004668418710991662,processbench_olympiadbench_qwen3_8b,4
pb::P3E1_DYNAMICS_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_exact,P3E1_DYNAMICS_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_exact,0.003235824114104724,-0.0008070650423792084,0.007364356158993613,PROMISING_UNCONFIRMED,6,0,2,-0.004538577912254149,processbench_olympiadbench_qwen3_8b,1
pb::P3E1_DYNAMICS_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_within_one,P3E1_DYNAMICS_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_within_one,0.0012624601603750674,-0.002933190846108423,0.005523536228275445,PROMISING_UNCONFIRMED,5,1,2,-0.0075642965204235635,processbench_olympiadbench_qwen3_8b,1
pb::P3E1_DYNAMICS_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::clean_abstention_accuracy,P3E1_DYNAMICS_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E1_DYNAMICS_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::overall_decision_accuracy,P3E1_DYNAMICS_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,overall_decision_accuracy,0.0018124999999999947,-0.0006250000000000422,0.004250000000000033,PROMISING_UNCONFIRMED,6,0,2,-0.0030000000000000027,processbench_omnimath_qwen3_4b,1
pb::P3E2_PARTITION_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::official_macro_f1,P3E2_PARTITION_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,macro_f1,-0.00490776388848202,-0.013100126492513227,0.003049792410918724,INCONCLUSIVE,3,0,5,-0.0159787758129194,processbench_gsm8k_qwen3_8b,4
pb::P3E2_PARTITION_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_exact,P3E2_PARTITION_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_exact,-0.006819549393383473,-0.014338044879188381,0.0003259384057329783,INCONCLUSIVE,3,0,5,-0.024154589371980673,processbench_gsm8k_qwen3_8b,1
pb::P3E2_PARTITION_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_within_one,P3E2_PARTITION_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_within_one,-0.006164151435643916,-0.014549400753322894,0.002201940817751422,INCONCLUSIVE,2,2,4,-0.0317700453857791,processbench_olympiadbench_qwen3_4b,1
pb::P3E2_PARTITION_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::clean_abstention_accuracy,P3E2_PARTITION_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E2_PARTITION_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::overall_decision_accuracy,P3E2_PARTITION_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,overall_decision_accuracy,-0.0040000000000000036,-0.008562499999999917,0.0003750000000000142,INCONCLUSIVE,3,0,5,-0.012500000000000011,processbench_gsm8k_qwen3_8b,1
pb::P3E3_TOPK_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::official_macro_f1,P3E3_TOPK_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,macro_f1,0.0013188747712543636,-0.0014333399425182753,0.004355214426140179,PROMISING_UNCONFIRMED,4,1,3,-0.0031068234910188175,processbench_olympiadbench_qwen3_8b,4
pb::P3E3_TOPK_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_exact,P3E3_TOPK_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_exact,0.001835955866410388,-0.0007531853452082446,0.004740663363398683,PROMISING_UNCONFIRMED,4,1,3,-0.003025718608169442,processbench_olympiadbench_qwen3_8b,1
pb::P3E3_TOPK_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_within_one,P3E3_TOPK_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_within_one,0.0017505793092848498,-0.0016329345158455479,0.0056352851441038125,PROMISING_UNCONFIRMED,5,0,3,-0.0030257186081694143,processbench_olympiadbench_qwen3_8b,1
pb::P3E3_TOPK_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::clean_abstention_accuracy,P3E3_TOPK_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E3_TOPK_IU_ONLY::P3E0_H2_XFIT_EQUAL_REFERENCE::overall_decision_accuracy,P3E3_TOPK_IU_ONLY,P3E0_H2_XFIT_EQUAL_REFERENCE,overall_decision_accuracy,0.0010624999999999662,-0.0005000000000000004,0.0027499999999999747,PROMISING_UNCONFIRMED,4,1,3,-0.0020000000000000018,processbench_olympiadbench_qwen3_8b,1
pb::P3E4_ALL_MULTI_IU_CONTROL::P3E0_H2_XFIT_EQUAL_REFERENCE::official_macro_f1,P3E4_ALL_MULTI_IU_CONTROL,P3E0_H2_XFIT_EQUAL_REFERENCE,macro_f1,-0.004707507656459886,-0.01384632869048447,0.004211449581994316,INCONCLUSIVE,3,0,5,-0.017135221166645842,processbench_omnimath_qwen3_4b,4
pb::P3E4_ALL_MULTI_IU_CONTROL::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_exact,P3E4_ALL_MULTI_IU_CONTROL,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_exact,-0.006447452666948794,-0.014965374067847093,0.001871880908041139,INCONCLUSIVE,3,0,5,-0.024154589371980673,processbench_gsm8k_qwen3_8b,1
pb::P3E4_ALL_MULTI_IU_CONTROL::P3E0_H2_XFIT_EQUAL_REFERENCE::first_error_within_one,P3E4_ALL_MULTI_IU_CONTROL,P3E0_H2_XFIT_EQUAL_REFERENCE,first_error_within_one,-0.005929352061694371,-0.015033592990854137,0.003107214378720527,INCONCLUSIVE,3,1,4,-0.03630862329803325,processbench_olympiadbench_qwen3_4b,1
pb::P3E4_ALL_MULTI_IU_CONTROL::P3E0_H2_XFIT_EQUAL_REFERENCE::clean_abstention_accuracy,P3E4_ALL_MULTI_IU_CONTROL,P3E0_H2_XFIT_EQUAL_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E4_ALL_MULTI_IU_CONTROL::P3E0_H2_XFIT_EQUAL_REFERENCE::overall_decision_accuracy,P3E4_ALL_MULTI_IU_CONTROL,P3E0_H2_XFIT_EQUAL_REFERENCE,overall_decision_accuracy,-0.0038124999999999964,-0.008875000000000022,0.0011250000000000426,INCONCLUSIVE,3,0,5,-0.012500000000000011,processbench_gsm8k_qwen3_8b,1
pb::P3E0_H2_XFIT_EQUAL_REFERENCE::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3E0_H2_XFIT_EQUAL_REFERENCE,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,0.00019383668342498606,0.0,0.0006160250952559995,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E0_H2_XFIT_EQUAL_REFERENCE::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3E0_H2_XFIT_EQUAL_REFERENCE,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,0.00018910741301059186,0.0,0.0005813953488372214,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E0_H2_XFIT_EQUAL_REFERENCE::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3E0_H2_XFIT_EQUAL_REFERENCE,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,0.00018910741301059186,-0.0016538874691544164,0.001978341440755039,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E0_H2_XFIT_EQUAL_REFERENCE::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3E0_H2_XFIT_EQUAL_REFERENCE,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3E0_H2_XFIT_EQUAL_REFERENCE::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3E0_H2_XFIT_EQUAL_REFERENCE,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,0.00012499999999998623,0.0,0.0003750000000000142,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
