domain,cell,loco_auroc,loco_subset,good5,all16,consensus_auroc,oracle_best_LABEL_PEEKING_CEILING
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,0.5606,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5525,0.5575,0.5606,0.6049
gpqa,Llama-8B_T1.0,0.5178,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5327,0.5459,0.5178,0.5594
gpqa,Mistral-7B_T1.0,0.4099,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.4177,0.4416,0.4099,0.5869
gpqa,Qwen-7B_T1.0,0.543,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5234,0.4359,0.543,0.5925
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,0.481,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5018,0.3931,0.481,0.6566
gsm8k,Llama-8B_T1.0,0.7428,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.7563,0.7382,0.7428,0.7611
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,0.8447,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.8439,0.8268,0.8532,0.8588
math500,Qwen-Math-7B_T1.0,0.9439,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.9444,0.9409,0.9439,0.956
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,0.8644,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.8667,0.8667,0.8644,0.8812
math500,deepseek-math-7b-instruct_T1.0,0.7027,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.7157,0.6996,0.7027,0.7411
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,0.6509,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6549,0.5746,0.6509,0.7131
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,0.73,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.96,0.91,0.73,1.0
qa,spectral_phase9_cache_webq_cot_traces_T1.0,0.644,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6359,0.6212,0.644,0.6668
rag,Llama-8B/2wikimultihopqa,0.5578,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5946,0.5405,0.5578,0.7184
rag,Llama-8B/hotpotqa,0.7791,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.7759,0.7306,0.7963,0.8847
rag,Llama-8B/narrativeqa,0.6028,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5729,0.5343,0.6028,0.6513
rag,Llama-8B/natural-questions,0.583,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6338,0.6372,0.583,0.7035
rag,Mistral-24B/2wikimultihopqa,0.4979,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.4625,0.4229,0.4979,0.7417
rag,Mistral-24B/hotpotqa,0.625,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6052,0.631,0.625,0.7738
rag,Mistral-24B/narrativeqa,0.5943,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6158,0.5644,0.5943,0.6734
rag,Mistral-24B/natural-questions,0.3587,epr|spectral_entropy|hl_ratio|rpdi|sw_var_peak|cusum_max,0.3746,0.4032,0.7333,0.7714
rag,Qwen-72B/2wikimultihopqa,0.5101,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.5339,0.5072,,0.6379
rag,Qwen-72B/hotpotqa,0.7136,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.7179,0.7598,,0.7695
rag,Qwen-72B/narrativeqa,0.5961,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6031,0.604,0.5961,0.6742
