cell,group,spectral_gap,k_cell_target,auc_epr,auc_margin,n_selected
epr_triviaqa_mistral24b,QA,3.4307831809672837,6,0.7447957580518461,0.7447957580518461,6
ars_gsm8k_r1distill8b,math,1.4787635594526998,15,0.7104476405946996,0.7104476405946996,15
inside_coqa_llama7b,QA,2.5908716224855177,15,0.5357108033171293,0.5357108033171293,15
internalstates_gsm8k_qwen25_7b,math,2.802285835879266,15,0.7048813859821548,0.7048813859821548,15
lapeigvals_gsm8k_llama3b,math,4.057318638027943,6,0.707654927807412,0.707654927807412,6
lapeigvals_gsm8k_llama8b,math,4.693903769028529,6,0.7947994234926735,0.7947994234926735,6
lapeigvals_gsm8k_mistral24b,math,4.803974884851389,6,0.832087345515202,0.832087345515202,6
lapeigvals_gsm8k_nemo,math,2.5220196703043576,15,0.7873613650213285,0.7873613650213285,15
lapeigvals_gsm8k_phi35,math,2.3584530262767496,15,0.8091029646045265,0.8091029646045265,15
losnet_hotpotqa_mistral7b,QA,2.290753172437252,15,0.5719801927099162,0.5719801927099162,15
math500_dsmath7b,math,1.9168107396472063,15,0.7803046711428777,0.7803046711428777,15
math500_qwenmath7b,math,6.562837175030432,6,0.9091658215010141,0.9091658215010141,6
math500_r1distill8b,math,3.2841849106309193,6,0.8143338404694631,0.8143338404694631,6
math500_r1distill8b_mn4096,math,5.109392059471944,6,0.8244827425155294,0.8244827425155294,6
noise_gsm8k_mistral7b,math,2.399273850981112,15,0.7768578510040511,0.7768578510040511,15
noise_gsm8k_phi3mini,math,1.6654040834755444,15,0.676672580393207,0.676672580393207,15
sciq_llama8b,QA,4.848905059517896,6,0.7453571835479094,0.7453571835479094,6
se_nq_open_llama8b,QA,2.8879379233445235,15,0.7548350070130936,0.7548350070130936,15
se_squad_v2_llama8b,QA,2.8798236042615537,15,0.7994436300255099,0.7994436300255099,15
seiclr_triviaqa_opt30b,QA,2.582057762463518,15,0.5607364353461357,0.5607364353461357,15
semenergy_triviaqa_qwen3_8b,QA,1.4371193718770106,15,0.7160917304445624,0.7160917304445624,15
spilled_triviaqa_llama8b,QA,4.483986156442317,6,0.8926666666666667,0.8926666666666667,6
trace_gsm8k_llama8b_k10,math,4.426834094519957,6,0.7987948781291172,0.7987948781291172,6
trace_math500_qwenmath15b_k10,math,5.016641000592633,6,0.6808506080744575,0.6808506080744575,6
truthfulqa_llama8b,QA,1.9868342421978875,15,0.6609383807893902,0.6609383807893902,15
