id,tier,answer_type,category,has_image
668825f80a642802bdfeadfa,Gold subset,multipleChoice,Humanities/Social Science,0
66b827b9b64deaedfbb997a2,Gold subset,exactMatch,Physics,0
66b91693d86bff9a12fc1f99,Gold subset,exactMatch,Computer Science/AI,0
66e4cdec11c64a7e4051b2d9,Gold subset,multipleChoice,Computer Science/AI,0
66e8784d70625d8c7700315a,Gold subset,multipleChoice,Computer Science/AI,0
66e883265ab37f0a7da089be,Gold subset,multipleChoice,Other,0
66e88728ba7d8bc0d5806f3a,Gold subset,multipleChoice,Biology/Medicine,0
66e8add1650a03361a14c6f8,Gold subset,exactMatch,Biology/Medicine,0
66e8b0a9e5eaa390aa9fdde5,Gold subset,exactMatch,Math,0
66e8b578d0c1f7390bad120c,Gold subset,multipleChoice,Computer Science/AI,0
66e8c151efbbc8b5a54da02b,Gold subset,exactMatch,Math,0
66e8ccc4089d1e34c84c76c0,Gold subset,exactMatch,Biology/Medicine,0
66e8ccd402beabf885334534,Gold subset,exactMatch,Computer Science/AI,0
66e8cfa03add731d7fce4352,Gold subset,exactMatch,Math,0
66e8d4736299517dd7a5da8c,Gold subset,exactMatch,Other,0
66e8e8864c478c24f1a7e7b8,Gold subset,exactMatch,Physics,0
66e9032060abc895aedcf460,Gold subset,exactMatch,Physics,0
66e9173256ec303aa22ccd37,Gold subset,exactMatch,Math,0
66e9249c953867e04c273db7,Gold subset,exactMatch,Math,0
66e932f00bd16d40d4bc4d81,Gold subset,multipleChoice,Computer Science/AI,1
66e942c180435ab1cb1ef049,Gold subset,exactMatch,Computer Science/AI,0
66e9469b76b5b4f3e8a369d5,Gold subset,exactMatch,Math,0
66e946fbb78e263c565b17e3,Gold subset,multipleChoice,Humanities/Social Science,0
66e949664ea2c791558f8620,Gold subset,multipleChoice,Computer Science/AI,0
66e996260930c00374ceaa0b,Gold subset,exactMatch,Other,0
66e9b2899cf8fcf41599246f,Gold subset,multipleChoice,Humanities/Social Science,0
66e9b92578e89514d9ab6093,Gold subset,exactMatch,Other,0
66e9ce9d29eb7c1a0721fdf1,Gold subset,exactMatch,Humanities/Social Science,0
66e9d06a420b60a0ede79e8e,Gold subset,exactMatch,Math,0
66ea1dd348eb93c2aef1c735,Gold subset,multipleChoice,Biology/Medicine,0
66ea216e142383cfe2f74fde,Gold subset,exactMatch,Other,0
66ea29ab7131229007ccbd9d,Gold subset,multipleChoice,Biology/Medicine,0
66ea2cc3c602e2b991ae8aba,Gold subset,exactMatch,Computer Science/AI,0
66ea3ba5444b8f31ef575799,Gold subset,exactMatch,Math,0
66ea4881b7291c80d7f10f9d,Gold subset,multipleChoice,Biology/Medicine,1
66ea70cd3d800a43340dd4d0,Gold subset,exactMatch,Other,0
