contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell,worst_cell_delta,bootstrap_draws,bootstrap_seed,interval
H3_EQUAL_C8__vs__HISTORICAL_FINALIST__f1,H3_EQUAL_C8,HISTORICAL_FINALIST,f1,0.0064305217065497855,-0.026890877082303186,0.03947308775461105,5,0,3,processbench_gsm8k_llama31_8b,-0.03460931977597731,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_FINALIST__exact_error,H3_EQUAL_C8,HISTORICAL_FINALIST,exact_error,-0.009445742889891806,-0.04244039184796629,0.02260827057396323,4,1,3,processbench_gsm8k_qwen3_8b,-0.15000000000000002,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_FINALIST__clean_abstention,H3_EQUAL_C8,HISTORICAL_FINALIST,clean_abstention,0.033796296296296324,-0.00012090978168016735,0.06860684453954038,4,0,4,processbench_olympiadbench_llama31_8b,-0.09876543209876543,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_FINALIST__within_one,H3_EQUAL_C8,HISTORICAL_FINALIST,within_one,-0.005958073644243833,-0.038383204786168,0.024249660529343,5,0,3,processbench_gsm8k_qwen3_8b,-0.17500000000000004,2000,20260816,paired historical source-question grouped bootstrap
H2_CLEAN_C7__vs__HISTORICAL_FINALIST__f1,H2_CLEAN_C7,HISTORICAL_FINALIST,f1,0.00856029563397509,-0.024610356751519926,0.040868814238070546,6,0,2,processbench_gsm8k_qwen3_8b,-0.03760360588838818,2000,20260816,paired historical source-question grouped bootstrap
H2_CLEAN_C7__vs__HISTORICAL_FINALIST__exact_error,H2_CLEAN_C7,HISTORICAL_FINALIST,exact_error,-0.00711771975069847,-0.03702989320279673,0.02442842801796578,6,0,2,processbench_gsm8k_qwen3_8b,-0.17500000000000004,2000,20260816,paired historical source-question grouped bootstrap
H2_CLEAN_C7__vs__HISTORICAL_FINALIST__clean_abstention,H2_CLEAN_C7,HISTORICAL_FINALIST,clean_abstention,0.033796296296296324,0.0021135314156723317,0.07069842873733756,4,0,4,processbench_olympiadbench_llama31_8b,-0.09876543209876543,2000,20260816,paired historical source-question grouped bootstrap
H2_CLEAN_C7__vs__HISTORICAL_FINALIST__within_one,H2_CLEAN_C7,HISTORICAL_FINALIST,within_one,-0.004800666236836448,-0.036575998769519266,0.029246824629836455,5,0,3,processbench_gsm8k_qwen3_8b,-0.17500000000000004,2000,20260816,paired historical source-question grouped bootstrap
H0_CURRENT_FAMILY_TOP10__vs__HISTORICAL_FINALIST__f1,H0_CURRENT_FAMILY_TOP10,HISTORICAL_FINALIST,f1,0.007866335310331873,-0.023593057300709493,0.04075069501661764,6,0,2,processbench_olympiadbench_qwen3_8b,-0.025092019887731076,2000,20260816,paired historical source-question grouped bootstrap
H0_CURRENT_FAMILY_TOP10__vs__HISTORICAL_FINALIST__exact_error,H0_CURRENT_FAMILY_TOP10,HISTORICAL_FINALIST,exact_error,-0.007491358621677768,-0.03998826508486752,0.02542810955750211,4,2,2,processbench_gsm8k_qwen3_8b,-0.125,2000,20260816,paired historical source-question grouped bootstrap
H0_CURRENT_FAMILY_TOP10__vs__HISTORICAL_FINALIST__clean_abstention,H0_CURRENT_FAMILY_TOP10,HISTORICAL_FINALIST,clean_abstention,0.033796296296296324,-0.0005105695844489721,0.0688363568922085,4,0,4,processbench_olympiadbench_llama31_8b,-0.09876543209876543,2000,20260816,paired historical source-question grouped bootstrap
