access,display_name,fidelity,headline_join_groups,headline_join_passed,method_id,minimum_join_coverage,populations
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",Dedicated Global incumbent: mixed-v2 IU-PCR (no length),adapted-common-protocol,1,true,classic_mixed_v2_no_length,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""generated answer trace"",""model_passes_per_question"":1,""model_passes_scope"":""method generation passes including the reported answer trace"",""registered_source_traces_per_question"":1,""supervision"":""task model generation"",""traces_per_question"":1}",LEASH study: CoT central arm,paper-specified-partial,6,true,cot|central,1.0,"[""s2_stopping::test::aqua::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::aqua::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::aqua::microsoft/Phi-3-mini-128k-instruct"",""s2_stopping::test::gsm8k::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::gsm8k::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::gsm8k::microsoft/Phi-3-mini-128k-instruct""]"
"{""input_type"":""full reasoning trace text"",""model_passes_per_question"":1,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""critic language model"",""traces_per_question"":1}",Qwen2.5-72B critic (single greedy),adapted-common-protocol,1,true,critic_qwen25_72b_single_greedy,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""multi-trace answer samples"",""model_passes_per_question"":4096,""model_passes_scope"":""method generation passes in the requested multi-trace frontier"",""registered_source_traces_per_question"":4096,""supervision"":""official pinned DeepConf code"",""traces_per_question"":4096}",DeepConf M2 (partial multi-trace acquisition),paper-specified-partial,0,false,deepconf_m2,,[]
"{""input_type"":""full reasoning trace text"",""model_passes_per_question"":1,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""judge language model"",""traces_per_question"":1}",Eq.6 Qwen3-8B reconstruction (pre-contract),adapted-common-protocol,1,true,eq6_qwen3_8b_precontract,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""single trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none for score fit; threshold labels cross-fit"",""traces_per_question"":1}",Dedicated Local incumbent: family6 + level + step_top5mean,adapted-common-protocol,1,true,family6_level_step_top5mean,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""teacher-forced every-step token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Fixed reasoning IU-PCR (PRMBench native),adapted-common-protocol,0,false,fixed_reasoning_iu_prmbench,,[]
"{""input_type"":""single trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none for score fit; threshold labels cross-fit"",""traces_per_question"":1}",GL-LIU frozen replay,adapted-common-protocol,1,true,gl_liu_v1_replay,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Historical DeepConf entropy-w64 proxy,adapted-common-protocol,28,true,historical_deepconf_entropy_w64_proxy,1.0,"[""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",IU-28 no-length (exact frozen CPU replay),adapted-common-protocol,28,true,iu28_no_length,1.0,"[""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097""]"
