model_id,cell_id,slice_id,row_id,group_id,fold,true_first_error,prediction_step,threshold,true_error_step_length,true_error_length_stratum,selected_step_length
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_00030199f347f7f60434562427c35761758e4828e0ac0ed0bdd524fc12f64d67,xgidv2_0b309d99f02d1d8b1dcf41ca8320702d713251b22396f5c96301904d72f1065e,1,-1,-1,0.4315373528482523,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_00604aec9de0c8cbb31fc52f7bd15c2d253b779d60cfcee7189e78eeb60bda86,xgidv2_084fd7632c01461f58a811d2bcdfdb9da458b7943c52fb50bd85ebefcf323bce,3,3,0,0.4825789433732481,83,short,50
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_00c88d2ae99eeec16e745042e43185a3a7f79672183b0da40e52558d2d21b0b0,xgidv2_74e67349c5b2fba918e59df27c1490988e723e236c5a47fd5d830b11fcd23cfb,0,2,1,0.4159526783705232,148,long,40
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0121470951da43d2f5410dc97125584aba6ecca5d97282b7153f6bb054d2a973,xgidv2_9e4a306ab3c2c111e84ff04132ea11aa64a478d60548536d0d7ad285ddae4830,4,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0149501ba16ac5603f65bda0308daf6cab0ceb72c92951f55587fb9039282c07,xgidv2_ee9518197295b7d41d0e4527bd694ccda5b9cfc4747214f79df01bc7eb06c28b,1,1,2,0.4315373528482523,39,short,55
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_024a7e25766ec38ba1564c43676681b1100bd234de2006bbb98aec82bad9b43a,xgidv2_4c0f6de223fd57110803744770b186308b0a0f42f702f477be204420fc48d53f,1,-1,-1,0.4315373528482523,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_027f51419d5ea2cd6b768528c50de4903e35b78bb59ce3e4386bc95f420329e2,xgidv2_ebbbcd2f893f96a9899deb9e6bd27018fe442e93b943f80f997305dddd69c722,1,-1,1,0.4315373528482523,,CLEAN,36
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0361b74373a57e10ac2e67aa2118cc721925a55224530fcadd47db4e226a3703,xgidv2_57b49db564c81084cf644846538c6c9d25456f8e08966b08ea0e0b285e12bcdd,4,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_037dc75c0412413358ccbf34861156977a8db86dab832f13b4467e91f7a78877,xgidv2_5edad66a34aa3bf9ac17f75be8ae7e5f39b387f550aab7d7b04902a7b9539636,3,3,0,0.4825789433732481,80,short,57
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_03c2bab2c352074dbb7c048d7f9eefd9477b44a3a97f349f08b04ab97fe91153,xgidv2_ed3bc0a58c54cf6c6a6a0cd6c2febadbf90b6ebce93a175dcbf5110fc786bdb6,2,4,2,0.4309764488483708,75,short,46
