cell_id,benchmark_panel,lane,n_streams,minimum_pairwise_score_spearman,pass_minimum_ge_0_99
processbench_gsm8k_qwen3_4b,ProcessBench,v2_active28,28,0.9986743688479044,True
processbench_gsm8k_qwen3_4b,ProcessBench,h2_24,24,0.9992143856212873,True
processbench_math_qwen3_4b,ProcessBench,v2_active28,28,0.9999503672646147,True
processbench_math_qwen3_4b,ProcessBench,h2_24,24,0.9979174520026614,True
processbench_olympiadbench_qwen3_4b,ProcessBench,v2_active28,28,0.9986186051988124,True
processbench_olympiadbench_qwen3_4b,ProcessBench,h2_24,24,0.9991827807668432,True
processbench_omnimath_qwen3_4b,ProcessBench,v2_active28,28,0.9995372928038526,True
processbench_omnimath_qwen3_4b,ProcessBench,h2_24,24,0.9986386888725438,True
processbench_gsm8k_qwen3_8b,ProcessBench,v2_active28,28,0.9997485560714946,True
processbench_gsm8k_qwen3_8b,ProcessBench,h2_24,24,0.9995008521193658,True
processbench_math_qwen3_8b,ProcessBench,v2_active28,28,0.9984973198271627,True
processbench_math_qwen3_8b,ProcessBench,h2_24,24,0.9981472043661066,True
processbench_olympiadbench_qwen3_8b,ProcessBench,v2_active28,28,0.9981752594259433,True
processbench_olympiadbench_qwen3_8b,ProcessBench,h2_24,24,0.9933622788325611,True
processbench_omnimath_qwen3_8b,ProcessBench,v2_active28,28,0.9994774691508108,True
processbench_omnimath_qwen3_8b,ProcessBench,h2_24,24,0.997503003726856,True
prmbench_response_qwen3_8b,PRMBench,v2_active28,28,0.9982945024869194,True
prmbench_response_qwen3_8b,PRMBench,h2_24,24,0.9982419062012207,True
