cell,group,k_eff,raw_eff_rank,auc_iter_weight,auc_iter_residual,auc_iter_group,auc_good6
ars_gsm8k_r1distill8b,math,6,6.03,0.6944893341952165,0.7710488041370395,0.707579185520362,0.7623222365869424
epr_triviaqa_mistral24b,QA,4,4.087,0.7384973628100102,0.6335708674671754,0.5774464145438223,0.7331949276175513
inside_coqa_llama7b,QA,5,4.55,0.574301212076414,0.5682915494353237,0.6055184312047949,0.6673670403915383
internalstates_gsm8k_qwen25_7b,math,5,4.867,0.6335395347940876,0.6916999094255267,0.6270066100094429,0.703590217956871
lapeigvals_gsm8k_llama3b,math,4,3.855,0.7058582586272703,0.5353562152651716,0.7019996090149971,0.7025209223522402
lapeigvals_gsm8k_llama8b,math,4,3.509,0.7820081671871247,0.8051685483225237,0.5700616542557451,0.8186404035551285
lapeigvals_gsm8k_mistral24b,math,4,3.772,0.845371142618849,0.8217605580407915,0.815664568958981,0.808749715672151
lapeigvals_gsm8k_nemo,math,5,4.976,0.7676904326630103,0.7674263660369693,0.7459069672963641,0.8013325208206379
lapeigvals_gsm8k_phi35,math,5,5.436,0.772265684101852,0.8150615438015646,0.7665963563221461,0.812493881220018
losnet_hotpotqa_mistral7b,QA,5,5.229,0.561343606428431,0.5520120130856826,0.5237490838234505,0.5809721303562809
math500_dsmath7b,math,5,5.362,0.7748177026929463,0.8163309508338747,0.7459389213775178,0.7868023969388491
math500_qwenmath7b,math,3,2.496,0.9302738336713997,0.8810851926977689,0.8067951318458418,0.8900862068965518
math500_r1distill8b,math,3,3.243,0.8232449467507064,0.6713757878722016,0.8518256900673767,0.8357422299500108
math500_r1distill8b_mn4096,math,3,2.775,0.8196254261828032,0.8174302928401289,0.7289710896268273,0.8328896361683247
noise_gsm8k_mistral7b,math,4,4.47,0.7424046645728816,0.716127356082936,0.7564572421816442,0.7902344702003504
noise_gsm8k_phi3mini,math,6,5.982,0.6672524603334002,0.6126899645176407,0.5874394679877708,0.6800590256856576
sciq_llama8b,QA,4,3.748,0.7338498347954883,0.6430443203828188,0.6495385667084426,0.7477498006152443
se_nq_open_llama8b,QA,5,4.923,0.7435973883044256,0.6094239754101226,0.6116523351573436,0.7303111911630826
se_squad_v2_llama8b,QA,5,5.064,0.7467114148188334,0.634142878579756,0.7384737917421766,0.8110489074602057
seiclr_triviaqa_opt30b,QA,6,5.664,0.5697270733168134,0.5696032224448743,0.5510163995970976,0.5883956570917686
semenergy_triviaqa_qwen3_8b,QA,5,5.453,0.781042732229263,0.8004562332762262,0.7887501111801051,0.8159613899549709
spilled_triviaqa_llama8b,QA,4,3.605,0.8733333333333334,0.8386666666666667,0.32999999999999996,0.942
trace_gsm8k_llama8b_k10,math,4,3.526,0.7849102437417654,0.7925757575757577,0.5794653738471673,0.8092908020421608
trace_math500_qwenmath15b_k10,math,3,3.442,0.6692307515765106,0.6804489736902702,0.6460078689738586,0.6759889194811037
truthfulqa_llama8b,QA,6,5.941,0.6065766936153502,0.46447117495583823,0.6770945488691842,0.6571993052949163
