dataset_id,title,kind,status,observed_rows,positive_rate,failed_checks,limitations,blockers
frozen_24cell,Frozen 24-cell development collection,answer-level feature matrices,READY_WITH_LIMITATIONS,48607,0.4513753163124653,,The cells use heterogeneous datasets and graders and were repeatedly used during method development.,
semgrad_sciq,SemGrad SciQ with BEM labels,answer-level generation telemetry,READY,1000,0.612,,,
semgrad_truthfulqa,SemGrad TruthfulQA with BEM labels,answer-level generation telemetry,READY,817,0.38555691554467564,,,
hle_qwen72b,Humanity's Last Exam Qwen2.5-72B,answer-level generation telemetry,READY_WITH_LIMITATIONS,2158,,,"The complete labels come from an interim gpt-5.6-sol xhigh Codex judge, not the original paper's GPT-4o judge. Preserve both label sets when paper-faithful grading becomes available.",
ragtruth_full_evidence,RAGTruth full test evidence-condition cache,RAG evidence-condition telemetry,READY_WITH_LIMITATIONS,2700,0.34925925925925927,,RAGTruth labels have already been opened in earlier exploratory work.,
gasp_ragtruth_400,GASP-style balanced RAGTruth cohort,RAG evidence-condition telemetry,READY_WITH_LIMITATIONS,400,0.5,,The paper did not publish its 400 response IDs or sentence splitter; this is a protocol-level reproduction.,
refchecker_claims,RefChecker fixed human-labelled claims,claim-level evidence telemetry,READY_WITH_LIMITATIONS,10733,,,"The gold labels cover the fixed shipped claims. This is claim checking, not claim extraction.",
processbench_qwen3_4b,ProcessBench telemetry (qwen3 4b),first-error benchmark telemetry,READY,3400,0.653235294117647,,,
processbench_qwen3_8b,ProcessBench telemetry (qwen3 8b),first-error benchmark telemetry,READY,3400,0.653235294117647,,,
processbench_qwen25math7b_predictions,ProcessBench Qwen2.5-Math-PRM predictions,competitor prediction cache,READY,3400,,,,
processbench_qwen3_8b_judge_control,ProcessBench Qwen3-8B judge-control predictions,competitor prediction cache,READY,3400,,,,
processbench_qwen72b_critic,ProcessBench Qwen2.5-72B critic predictions,competitor prediction cache,READY,3400,,,,
prmbench_qwen3_8b_telemetry,PRMBench Qwen3-8B telemetry,every-step benchmark telemetry,READY_WITH_LIMITATIONS,6969,,step_alignment,Three rows were reported as misaligned; they must be identified and explicitly resolved or excluded before evaluation.,
prmbench_qwen25math7b_predictions,PRMBench Qwen2.5-Math-PRM predictions,competitor prediction cache,READY,6969,,,,
ragtruth_lettucedetect_predictions,RAGTruth LettuceDetect prediction package,competitor span predictions,READY,2700,0.34925925925925927,,,
