cell,domain,family,method,auroc,auprc,delta_pp
epr_triviaqa_mistral24b,QA,triviaqa,deployed_upcr,0.7461424082594547,0.8894187359774111,0.17113679721693087
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,0.7444310402872854,0.8943604354531876,0.0
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,0.7447957580518461,0.8935545176212141,0.03647177645607069
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0__blend_1,0.7375154303669622,0.8889349989758296,-0.691560992032314
epr_triviaqa_mistral24b,QA,triviaqa,permuted_graph__beta_3__blend_1,0.7429581416227135,0.8918026169186833,-0.14728986645718978
epr_triviaqa_mistral24b,QA,triviaqa,global_gate__beta_3__blend_1,0.7438979912467736,0.8956475124066163,-0.05330490405117683
epr_triviaqa_mistral24b,QA,triviaqa,sample_permuted_gate__beta_3__blend_1,0.7437156323644933,0.8965916329337397,-0.07154079227920107
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_3__blend_1,0.734275053304904,0.886206916337346,-1.0155986982381404
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0__blend_0.25,0.7435052182695545,0.8936473520855805,-0.09258220177308374
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0__blend_0.5,0.7416676018404218,0.8925027608318454,-0.2763438446863553
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0.3__blend_0.25,0.7433368869936032,0.8937321156240281,-0.10941532936821208
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0.3__blend_0.5,0.7408540006733251,0.8918752870646544,-0.35770396139602756
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_0.3__blend_1,0.7359723936707441,0.8875798453354512,-0.8458646616541277
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_1__blend_0.25,0.7429441140163843,0.8937411758359618,-0.1486926270901079
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_1__blend_0.5,0.7408680282796544,0.892123561685747,-0.35630120076309835
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_1__blend_1,0.7351167096846595,0.8870701021360251,-0.9314330602625875
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_3__blend_0.25,0.7429020311973965,0.8938639218204416,-0.15290090898888442
epr_triviaqa_mistral24b,QA,triviaqa,manual_graph__beta_3__blend_0.5,0.7405734485467399,0.8921113780322073,-0.3857591740545452
losnet_hotpotqa_mistral7b,QA,hotpotqa,deployed_upcr,0.5691914406764511,0.4103534682015586,-0.19664277159048282
losnet_hotpotqa_mistral7b,QA,hotpotqa,iu_pcr,0.5711578683923559,0.40937580725009665,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,dufs_liu,0.571962316094317,0.4132614877304057,0.08044477019610863
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0__blend_1,0.5723019717907005,0.41376298092112374,0.1144103398344587
losnet_hotpotqa_mistral7b,QA,hotpotqa,permuted_graph__beta_3__blend_1,0.5691199342140546,0.41023405596732054,-0.20379341783013372
losnet_hotpotqa_mistral7b,QA,hotpotqa,global_gate__beta_3__blend_1,0.5693344536012441,0.40476804464504273,-0.18234147911118104
losnet_hotpotqa_mistral7b,QA,hotpotqa,sample_permuted_gate__beta_3__blend_1,0.567046246804555,0.4015125147229198,-0.41116215878009843
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_3__blend_1,0.5719801927099161,0.405072389772261,0.08223243175601302
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0__blend_0.25,0.5722483419439032,0.41250816640326615,0.1090473551547233
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0__blend_0.5,0.5722304653283041,0.414022074574607,0.1072596935948189
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0.3__blend_0.25,0.5713545111639464,0.412188305976667,0.019664277159048282
