cell,scale,m,K,cluster_sizes,n_cross_pairs,identifiable,ident_reason,auroc_upcr_all,rank_agreement_all,top5_overlap_all,auroc_upcr_cross,rank_agreement_cross,top5_overlap_cross,auroc_upcr_hier,rank_agreement_hier,top5_overlap_hier,n_clusters_averaged,auroc_lsml_all30,auroc_good6,pairs_degraded
ars_gsm8k_r1distill8b,unit,30,4,"[5, 7, 7, 11]",328,True,ok,0.6821064964447318,0.38737552864245484,3,0.4692348093083387,0.2955125168682926,1,0.6169198448610214,0.19198715703655136,1,0,0.6740667420814479,0.7623222365869424,False
epr_triviaqa_mistral24b,unit,28,8,"[1, 2, 2, 2, 3, 3, 7, 8]",320,True,ok,0.7435473010885423,0.24455263865906807,1,0.6953063629222309,0.16223638140766475,2,0.5480866344966895,-0.22975767568956265,0,5,0.7404472000897766,0.7331949276175513,False
inside_coqa_llama7b,unit,27,6,"[1, 2, 3, 5, 7, 9]",280,True,ok,0.5423613393703871,0.4013119561325057,2,0.5455743562564186,0.4013119561325057,2,0.49713140342627443,0.18916664178537296,2,2,0.5038652923405011,0.6673670403915383,False
internalstates_gsm8k_qwen25_7b,unit,29,8,"[1, 2, 2, 3, 3, 5, 5, 8]",350,True,ok,0.6555472047175812,0.19981771840463436,1,0.6333853654776358,0.05976143046671967,1,0.5639513595806595,-0.007556428395802294,0,4,0.7137461216781331,0.703590217956871,False
lapeigvals_gsm8k_llama3b,unit,30,6,"[2, 3, 4, 5, 5, 11]",350,True,ok,0.7080505673937126,0.16003671467414443,1,0.6541598011561984,0.1407251181571447,1,0.5857467348097671,-0.2574763450087921,0,3,0.6760735796538853,0.7025209223522402,False
lapeigvals_gsm8k_llama8b,unit,29,8,"[1, 2, 2, 2, 3, 3, 7, 9]",340,True,ok,0.7881735927616301,-0.08364775071800833,0,0.809732564656898,-0.03280303949725817,0,0.7228561133797742,-0.03645101728658755,0,5,0.8189206501721515,0.8186404035551285,False
lapeigvals_gsm8k_mistral24b,unit,30,7,"[2, 2, 3, 3, 3, 7, 10]",358,True,ok,0.8459549624687239,-0.0388660592780065,0,0.8212070664948062,0.057461060126858206,1,0.5584350595192964,-0.04767431666537098,1,5,0.8451664265675942,0.808749715672151,False
lapeigvals_gsm8k_nemo,unit,29,8,"[1, 1, 1, 2, 4, 4, 5, 11]",328,True,ok,0.7727361365021328,0.11675395755619625,1,0.6279626244160066,-0.23904572186687867,1,0.5042900670322974,-0.01778666991627309,1,3,0.7893154580540321,0.8013325208206379,False
lapeigvals_gsm8k_phi35,unit,29,7,"[1, 2, 2, 3, 3, 5, 13]",310,True,ok,0.7785046146726119,0.49569209403802583,1,0.5089667939372904,0.10757057484009541,1,0.5848174156053365,-0.09217088984014475,1,4,0.7864123034202868,0.812493881220018,False
losnet_hotpotqa_mistral7b,unit,29,8,"[1, 1, 2, 2, 3, 5, 6, 9]",340,True,ok,0.568637265592878,0.09701648047814286,1,0.5657770070970164,-0.08571997800466233,1,0.4750531829314074,-0.011416583485552894,1,3,0.5723377250218988,0.5809721303562809,False
math500_dsmath7b,unit,30,4,"[5, 7, 9, 9]",332,True,ok,0.7707024763554978,0.04454869565779202,0,0.7317883185329579,-0.1954477456893881,1,0.48769041946429864,0.24886592606203736,2,0,0.7846364883401921,0.7868023969388491,False
math500_qwenmath7b,unit,28,7,"[1, 1, 2, 4, 6, 6, 8]",313,True,ok,0.852814401622718,-0.03573708449459316,1,0.9220334685598377,0.35219036134731224,2,0.9149340770791075,0.1727129137262987,2,2,0.9060598377281948,0.8900862068965518,False
math500_r1distill8b,unit,28,6,"[2, 2, 3, 5, 7, 9]",306,True,ok,0.8387307107150619,0.16952370266495032,1,0.8504672897196262,0.36826795751562197,3,0.8437296239947837,0.0548154036721985,1,3,0.8413931753966528,0.8357422299500108,False
math500_r1distill8b_mn4096,unit,29,4,"[2, 7, 9, 11]",293,True,ok,0.8471346504133389,-0.16179868875949455,0,0.8186913268880482,0.2982531832099412,1,0.8212600999486246,0.23480594687928952,1,1,0.8087898743636449,0.8328896361683247,False
noise_gsm8k_mistral7b,unit,29,4,"[4, 5, 6, 14]",284,True,ok,0.7506288252578528,-0.2265375295866494,0,0.7046797474582585,-0.13147514702678326,0,0.607304949211152,-0.1835770714515735,0,1,0.7744965949169768,0.7902344702003504,False
noise_gsm8k_phi3mini,unit,29,5,"[2, 3, 5, 6, 13]",299,True,ok,0.672033652451407,0.014114239579670439,1,0.5852971368637165,0.351231527093596,0,0.6456143580817211,-0.316236528364326,0,2,0.6641003325076431,0.6800590256856576,False
sciq_llama8b,unit,30,7,"[2, 3, 4, 4, 4, 5, 8]",375,True,ok,0.7429645664805742,0.3381492669018244,3,0.7239375640879572,0.0852347876458333,1,0.5472257035433519,-0.06959563599062434,1,5,0.7403440811211118,0.7477498006152443,False
se_nq_open_llama8b,unit,27,8,"[2, 2, 2, 3, 3, 3, 5, 7]",308,True,ok,0.7488733042368034,0.43759251372387764,3,0.5944474759156527,-0.06743422511994296,0,0.5597501297037719,-0.44916192650144104,0,6,0.7407312915419156,0.7303111911630826,False
se_squad_v2_llama8b,unit,27,6,"[2, 3, 3, 4, 7, 8]",289,True,ok,0.764658386527074,0.27244953680730205,1,0.535644615793058,0.27472527472527475,2,0.6735978206918841,-0.32516100024922917,0,4,0.8113513326330614,0.8110489074602057,False
seiclr_triviaqa_opt30b,unit,28,7,"[2, 3, 3, 4, 5, 5, 6]",330,True,ok,0.5746944931193422,0.13791432354304053,2,0.5408390187011591,0.06916399861084169,1,0.569239410508553,-0.019375536059136157,0,4,0.5688146407211991,0.5883956570917686,False
semenergy_triviaqa_qwen3_8b,unit,27,7,"[1, 2, 3, 3, 4, 6, 8]",295,True,ok,0.7951848416005612,0.7046498069707637,4,0.7053795792695448,0.6997868157168498,4,0.5704137894917968,-0.6672627031439392,0,4,0.7804442299811388,0.8159613899549709,False
spilled_triviaqa_llama8b,unit,28,8,"[1, 1, 2, 3, 4, 5, 5, 7]",327,True,ok,0.9066666666666667,-0.17335781043325582,0,0.9526666666666668,0.1399125373599681,3,0.9393333333333334,0.06405573822280555,3,3,0.9373333333333334,0.942,True
trace_gsm8k_llama8b_k10,unit,29,8,"[1, 1, 1, 2, 3, 3, 6, 12]",318,True,ok,0.7920853919631092,0.21446717367088014,1,0.8052637104743081,0.035164828436648914,1,0.681576498682477,-0.3351383715616147,0,3,0.8068513257575759,0.8092908020421608,False
trace_math500_qwenmath15b_k10,unit,30,7,"[1, 2, 2, 6, 6, 6, 7]",367,True,ok,0.6559737568268283,-0.17330138606361004,1,0.6884640659629013,-0.13197798266939803,1,0.6701426528830845,-0.41975707271087626,0,2,0.6893407764472417,0.6759889194811037,False
truthfulqa_llama8b,unit,29,6,"[2, 2, 4, 5, 5, 11]",323,True,ok,0.6440886306890391,0.36469850421930716,3,0.6692175293481742,-0.2693476220679491,0,0.5347588022785863,-0.23792286699767654,0,3,0.6666373824949969,0.6571993052949163,False
ars_gsm8k_r1distill8b,eigen,30,5,"[2, 4, 5, 7, 12]",331,True,ok,0.6821064964447318,0.38737552864245484,3,0.5653482546864899,0.490822118956643,2,0.5840134130575307,-0.0267321841201965,0,2,0.6817024886877827,0.7623222365869424,False
epr_triviaqa_mistral24b,eigen,28,4,"[2, 4, 5, 17]",225,True,ok,0.7435473010885423,0.24455263865906807,1,0.7029794635843338,-0.1887248637957397,0,0.6035938727415554,-0.33741345258565053,0,2,0.7251009987655708,0.7240489282908765,False
inside_coqa_llama7b,eigen,27,6,"[1, 2, 3, 5, 7, 9]",280,True,ok,0.5423613393703871,0.4013119561325057,2,0.5455743562564186,0.4013119561325057,2,0.49713140342627443,0.18916664178537296,2,2,0.5038652923405011,0.5820384807132488,False
internalstates_gsm8k_qwen25_7b,eigen,29,6,"[2, 2, 3, 4, 7, 11]",319,True,ok,0.6555472047175812,0.19981771840463436,1,0.6448131660596249,0.011952286093343933,0,0.6383380547686497,-0.24126581780060172,0,4,0.710739820007323,0.7043225222100171,True
lapeigvals_gsm8k_llama3b,eigen,30,2,"[3, 27]",81,False,K=2 < 3 (bipartite/degenerate pair graph),0.7080505673937126,0.16003671467414443,1,nan,nan,nan,nan,nan,nan,,0.6918246897720185,0.7007824354642016,False
lapeigvals_gsm8k_llama8b,eigen,29,6,"[1, 2, 2, 3, 6, 15]",281,True,ok,0.7881735927616301,-0.08364775071800833,0,0.6824405476819602,0.07609337532269506,1,0.7131075346304749,-0.07113016509388058,2,3,0.8158579550004003,0.8179798222435744,False
lapeigvals_gsm8k_mistral24b,eigen,30,2,"[2, 28]",56,False,K=2 < 3 (bipartite/degenerate pair graph),0.8459549624687239,-0.0388660592780065,0,nan,nan,nan,nan,nan,nan,,0.8455000379103799,0.816930775646372,False
lapeigvals_gsm8k_nemo,eigen,29,4,"[4, 4, 6, 15]",274,True,ok,0.7727361365021328,0.11675395755619625,1,0.704265691651432,-0.2985269477919769,0,0.80729230144221,-0.27262370212723014,0,2,0.7813528336380257,0.7985618525289457,False
lapeigvals_gsm8k_phi35,eigen,29,6,"[2, 3, 3, 3, 5, 13]",308,True,ok,0.7785046146726119,0.49569209403802583,1,0.5089667939372904,0.10757057484009541,1,0.6033918066198524,0.013464055413482962,1,4,0.7859539511743608,0.8097081675700211,False
losnet_hotpotqa_mistral7b,eigen,29,5,"[3, 3, 5, 6, 12]",309,True,ok,0.568637265592878,0.09701648047814286,1,0.5182967160657144,0.1912601331476532,1,0.5339208780993582,-0.18612052868142492,0,2,0.5681903502028995,0.579506247877152,False
math500_dsmath7b,eigen,30,4,"[5, 7, 9, 9]",332,True,ok,0.7707024763554978,0.04454869565779202,0,0.7317883185329579,-0.1954477456893881,1,0.48769041946429864,0.24886592606203736,2,0,0.7846364883401921,0.7797270955165692,False
math500_qwenmath7b,eigen,28,2,"[5, 23]",115,False,K=2 < 3 (bipartite/degenerate pair graph),0.852814401622718,-0.03573708449459316,1,nan,nan,nan,nan,nan,nan,,0.915314401622718,0.8848884381338743,False
math500_r1distill8b,eigen,28,7,"[1, 2, 2, 3, 4, 7, 9]",310,True,ok,0.8387307107150619,0.16952370266495032,1,0.8504672897196262,0.36826795751562197,3,0.8498695935666158,0.05305485610841455,1,4,0.841230167354923,0.8329167572266898,False
math500_r1distill8b_mn4096,eigen,29,3,"[2, 6, 21]",180,True,ok,0.8471346504133389,-0.16179868875949455,0,0.6950165802624818,0.13301819044959673,0,0.42454812946616227,-0.18455130635011163,1,1,0.7829153238989304,0.8371397879594602,False
noise_gsm8k_mistral7b,eigen,29,6,"[1, 1, 2, 6, 6, 13]",297,True,ok,0.7506288252578528,-0.2265375295866494,0,0.7497827276531368,0.13147514702678326,1,0.723082370360833,-0.2962631170086352,0,1,0.7847440324827906,0.7898390115372765,False
noise_gsm8k_phi3mini,eigen,29,5,"[2, 3, 5, 6, 13]",299,True,ok,0.672033652451407,0.014114239579670439,1,0.5852971368637165,0.351231527093596,0,0.6456143580817211,-0.316236528364326,0,2,0.6641003325076431,0.6800590256856576,False
sciq_llama8b,eigen,30,2,"[6, 24]",144,False,K=2 < 3 (bipartite/degenerate pair graph),0.7429645664805742,0.3381492669018244,3,nan,nan,nan,nan,nan,nan,,0.7316850860202804,0.7456989859861,False
se_nq_open_llama8b,eigen,27,4,"[2, 5, 6, 14]",234,True,ok,0.7488733042368034,0.43759251372387764,3,0.6688891903268256,0.3852258852258852,2,0.7059607798168345,0.1814996787746623,0,1,0.7189678516440565,0.731799673048605,False
