domain,cell,n,pos_rate,good5_auroc,oracle_auroc,all16_auroc,epr_auroc,loco,random_median_s5
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,0.242,0.5525,0.6080555555555556,0.5574999999999999,0.5484722222222222,0.5606,0.5562
gpqa,Llama-8B_T1.0,198,0.268,0.532726089785296,0.572153545868575,0.5458685751463891,0.5113858165256995,0.5178,0.526
gpqa,Mistral-7B_T1.0,198,0.253,0.4177027027027026,0.6013513513513513,0.4416216216216216,0.4437837837837838,0.4099,0.4314
gpqa,Qwen-7B_T1.0,198,0.303,0.5234299516908212,0.5967391304347827,0.4358695652173913,0.4531400966183575,0.543,0.4548
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,0.404,0.5018008474576272,0.6603813559322034,0.393114406779661,0.4489406779661016,0.481,0.4219
gsm8k,Llama-8B_T1.0,1319,0.791,0.7563292898133867,0.7655001597954619,0.7381820834549168,0.7074735642725138,0.7428,0.7113
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,300,0.41,0.8439208120894768,0.8611455606081484,0.8267879288962381,0.8210922787193974,0.8447,0.8052
math500,Qwen-Math-7B_T1.5,300,0.28,0.9443893298059964,0.9584986772486772,0.9408619929453262,0.9662147266313932,0.9439,0.9386
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,0.443,0.8667327000135068,0.8862725676466615,0.8666876772770248,0.8558371977848813,0.8644,0.8583
math500,deepseek-math-7b-instruct_T1.5,300,0.197,0.7156621422040932,0.7475209227090512,0.6996272593009354,0.7079260144876574,0.7027,0.6912
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,0.277,0.6549096718692392,0.715128425709721,0.5745975175125968,0.6595182499692761,0.6509,0.5444
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,0.038,0.96,1.0,0.91,0.84,0.73,0.78
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,0.114,0.6358919938686476,0.672798019101521,0.6211531659002476,0.612545690366702,0.644,0.5896
rag,Llama-8B/2wikimultihopqa,99,0.253,0.5945945945945946,0.7183783783783783,0.5405405405405406,0.587027027027027,0.5578,0.5346
rag,Llama-8B/hotpotqa,93,0.312,0.7758620689655172,0.884698275862069,0.7306034482758621,0.8771551724137931,0.7791,0.6913
