method,transform,outer,inner,held_answers,held_all_in_fold_j,train_groups_overlapping_folds_k_or_j,test_groups_equal_fold_j
evidence__all__plain__equal,C_RAW,0,1,1378,True,0,True
evidence__all__plain__equal,C_RAW,0,2,1356,True,0,True
evidence__all__plain__equal,C_RAW,0,3,1424,True,0,True
evidence__all__plain__equal,C_RAW,0,4,1407,True,0,True
evidence__all__plain__equal,C_RAW,1,0,1404,True,0,True
evidence__all__plain__equal,C_RAW,1,2,1356,True,0,True
evidence__all__plain__equal,C_RAW,1,3,1424,True,0,True
evidence__all__plain__equal,C_RAW,1,4,1407,True,0,True
evidence__all__plain__equal,C_RAW,2,0,1404,True,0,True
evidence__all__plain__equal,C_RAW,2,1,1378,True,0,True
evidence__all__plain__equal,C_RAW,2,3,1424,True,0,True
evidence__all__plain__equal,C_RAW,2,4,1407,True,0,True
evidence__all__plain__equal,C_RAW,3,0,1404,True,0,True
evidence__all__plain__equal,C_RAW,3,1,1378,True,0,True
evidence__all__plain__equal,C_RAW,3,2,1356,True,0,True
evidence__all__plain__equal,C_RAW,3,4,1407,True,0,True
evidence__all__plain__equal,C_RAW,4,0,1404,True,0,True
evidence__all__plain__equal,C_RAW,4,1,1378,True,0,True
evidence__all__plain__equal,C_RAW,4,2,1356,True,0,True
evidence__all__plain__equal,C_RAW,4,3,1424,True,0,True
evidence__all__plain__equal,C_Z,0,1,1378,True,0,True
evidence__all__plain__equal,C_Z,0,2,1356,True,0,True
evidence__all__plain__equal,C_Z,0,3,1424,True,0,True
evidence__all__plain__equal,C_Z,0,4,1407,True,0,True
evidence__all__plain__equal,C_Z,1,0,1404,True,0,True
evidence__all__plain__equal,C_Z,1,2,1356,True,0,True
evidence__all__plain__equal,C_Z,1,3,1424,True,0,True
evidence__all__plain__equal,C_Z,1,4,1407,True,0,True
evidence__all__plain__equal,C_Z,2,0,1404,True,0,True
evidence__all__plain__equal,C_Z,2,1,1378,True,0,True
evidence__all__plain__equal,C_Z,2,3,1424,True,0,True
evidence__all__plain__equal,C_Z,2,4,1407,True,0,True
evidence__all__plain__equal,C_Z,3,0,1404,True,0,True
evidence__all__plain__equal,C_Z,3,1,1378,True,0,True
evidence__all__plain__equal,C_Z,3,2,1356,True,0,True
evidence__all__plain__equal,C_Z,3,4,1407,True,0,True
evidence__all__plain__equal,C_Z,4,0,1404,True,0,True
evidence__all__plain__equal,C_Z,4,1,1378,True,0,True
evidence__all__plain__equal,C_Z,4,2,1356,True,0,True
evidence__all__plain__equal,C_Z,4,3,1424,True,0,True
evidence__all__plain__equal,C_ECDF,0,1,1378,True,0,True
evidence__all__plain__equal,C_ECDF,0,2,1356,True,0,True
evidence__all__plain__equal,C_ECDF,0,3,1424,True,0,True
evidence__all__plain__equal,C_ECDF,0,4,1407,True,0,True
evidence__all__plain__equal,C_ECDF,1,0,1404,True,0,True
evidence__all__plain__equal,C_ECDF,1,2,1356,True,0,True
evidence__all__plain__equal,C_ECDF,1,3,1424,True,0,True
evidence__all__plain__equal,C_ECDF,1,4,1407,True,0,True
evidence__all__plain__equal,C_ECDF,2,0,1404,True,0,True
evidence__all__plain__equal,C_ECDF,2,1,1378,True,0,True
evidence__all__plain__equal,C_ECDF,2,3,1424,True,0,True
evidence__all__plain__equal,C_ECDF,2,4,1407,True,0,True
evidence__all__plain__equal,C_ECDF,3,0,1404,True,0,True
evidence__all__plain__equal,C_ECDF,3,1,1378,True,0,True
evidence__all__plain__equal,C_ECDF,3,2,1356,True,0,True
evidence__all__plain__equal,C_ECDF,3,4,1407,True,0,True
evidence__all__plain__equal,C_ECDF,4,0,1404,True,0,True
evidence__all__plain__equal,C_ECDF,4,1,1378,True,0,True
evidence__all__plain__equal,C_ECDF,4,2,1356,True,0,True
evidence__all__plain__equal,C_ECDF,4,3,1424,True,0,True
evidence__all__position__equal,C_RAW,0,1,1378,True,0,True
evidence__all__position__equal,C_RAW,0,2,1356,True,0,True
evidence__all__position__equal,C_RAW,0,3,1424,True,0,True
evidence__all__position__equal,C_RAW,0,4,1407,True,0,True
evidence__all__position__equal,C_RAW,1,0,1404,True,0,True
evidence__all__position__equal,C_RAW,1,2,1356,True,0,True
evidence__all__position__equal,C_RAW,1,3,1424,True,0,True
evidence__all__position__equal,C_RAW,1,4,1407,True,0,True
