lane,cell,split,graph_family,k,n_edges,n_components,target_smoothness_z,length_smoothness_z,target_smoothness_effect,length_smoothness_effect,target_smoother_than_length,target_aligned
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,3,1065,1,4.352360181220059,16.66521899051406,0.1455459887418799,0.5844016825886079,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,3,435,126,4.05617904968899,12.540557894961726,0.15697692645026168,0.5416778320133198,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,5,1751,1,8.836089459879567,21.343184804956675,0.16240615356649504,0.5653591597505409,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,5,749,40,4.2253485060111275,16.15635410014136,0.1551176504617317,0.5517793701782047,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,7,2417,1,8.876918355414414,29.884233100678955,0.16330854116276236,0.5617367859524748,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,7,1083,17,4.343654840261017,19.677592708888856,0.12756312601238454,0.5522379815223861,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,10,3393,1,11.397826795346678,29.704143871419905,0.16388364785558238,0.53302354205952,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,10,1607,8,5.260836450212715,23.981102543261514,0.14107149957936257,0.5651316465170507,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,15,5112,1,10.928504172268156,38.434175494267095,0.1534093897562011,0.5142990956013008,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,15,2388,3,8.409846711680276,22.448205152593783,0.1530596083380577,0.5558914245089801,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,union_knn,25,8385,1,12.404251611468323,44.14276223062713,0.15057215334388568,0.4751013253690387,False,True
global24,ars_gsm8k_r1distill8b,leave_family_out,mutual_knn,25,4115,2,13.521039253758287,31.09805065542379,0.16740413584876895,0.5177581059817755,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,3,1381,1,6.204800723069933,29.70437083575278,0.16703741428879149,0.8850995319830726,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,3,482,191,4.074037751346854,19.885793490323522,0.13832467096052325,0.7514662281247048,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,5,2220,1,8.159970639260115,33.47960368996397,0.16418265015175681,0.8795806218953576,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,5,885,53,4.444311347087488,24.300692841752696,0.1576828244436573,0.8410715672637546,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,7,3092,1,9.47390599699441,43.94382526859368,0.160895158426976,0.8764106300436083,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,7,1255,28,5.509278284629557,30.496981523251623,0.14221547363655884,0.8478217555216896,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,10,4367,1,9.48414149086288,56.23338658822838,0.15272934158078044,0.8633592306919275,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,10,1843,12,6.017228961958972,39.178555714915234,0.1473627732182939,0.8616743240744552,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,15,6494,1,9.758950064072142,76.40527600739632,0.1506195838364694,0.8454683434681902,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,15,2821,5,6.663797541039414,50.94563605103497,0.14802492900361566,0.8596266847977739,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,union_knn,25,10795,1,19.566974026298475,89.46079583121595,0.15316491267038926,0.8118208677692642,False,True
global24,epr_triviaqa_mistral24b,leave_family_out,mutual_knn,25,4730,2,11.132354458371005,50.69367809853196,0.15453359961764612,0.8482459559901041,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,3,1097,1,5.753440155301804,11.43417982059095,0.17095797549330505,0.3427292965178457,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,3,403,141,3.4663954856335133,7.2802630513351545,0.13754143903554375,0.30155859249407163,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,5,1766,1,6.959204976562617,15.245730694978262,0.17403277572951872,0.33014372758051647,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,5,734,55,3.2907758379252225,11.01645914682607,0.13752503627444548,0.31071210134477734,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,7,2439,1,6.457207118960492,16.0542271035395,0.14962062639878648,0.3246295113463905,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,7,1061,32,4.517806607046646,10.998766492749132,0.1428624313551307,0.3087427805922309,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,10,3459,1,7.786301797194646,18.021048130109936,0.1481781077491939,0.3107591312866232,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,10,1541,12,5.51643861831338,14.077137603710971,0.15057272480745668,0.32043478272023534,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,15,5146,1,10.31260288091909,19.63490913063495,0.13467023140391557,0.288948915866855,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,15,2354,7,7.738862898365585,16.100598953117725,0.1507180954881329,0.3043090369314266,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,union_knn,25,8530,1,10.90027666279164,27.345101229193915,0.11724900116465659,0.2802681677706822,False,True
global24,internalstates_gsm8k_qwen25_7b,leave_family_out,mutual_knn,25,3970,3,10.880749397491778,16.31038892592257,0.13528120998080334,0.27714211513989356,False,True
global24,lapeigvals_gsm8k_llama3b,leave_family_out,union_knn,3,2921,1,7.86605223073526,33.45816636206824,0.12766373561587385,0.5932024706597425,False,True
