cell,group,C,lambda1,tau,readout,n_selected,auroc,good6,seconds
ars_gsm8k_r1distill8b,math,2,0.1,anneal_10_1e-2,group_median,8,0.7089124111182934,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,2,0.1,anneal_10_1e-2,per_feature,14,0.7195580155138979,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,2,0.1,flat_1.0,group_median,8,0.7089124111182934,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,2,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,2,1.0,anneal_10_1e-2,group_median,8,0.7089124111182934,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,2,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,2,1.0,flat_1.0,group_median,8,0.7089124111182934,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,2,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,2,10.0,anneal_10_1e-2,group_median,8,0.7089124111182934,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,2,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,2,10.0,flat_1.0,group_median,8,0.7089124111182934,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,2,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,2,100.0,anneal_10_1e-2,group_median,8,0.7089124111182934,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,2,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,2,100.0,flat_1.0,group_median,8,0.7089124111182934,0.7623222365869424,1.05
ars_gsm8k_r1distill8b,math,2,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,1.05
ars_gsm8k_r1distill8b,math,3,0.1,anneal_10_1e-2,group_median,7,0.6996808338720104,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,3,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,3,0.1,flat_1.0,group_median,7,0.6996808338720104,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,3,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,3,1.0,anneal_10_1e-2,group_median,7,0.6996808338720104,0.7623222365869424,1.51
ars_gsm8k_r1distill8b,math,3,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,1.51
