cell,family,domain,n,m,third_moment_stability,proposed_rank,final_rank,nuisance_k,fallback_reasons,full_guard_failures,target_alignment,target_margin,cp_seed_agreement
epr_triviaqa_mistral24b,triviaqa,QA,621,28,0.892327445213768,2,2,1,,,0.9784922008194367,0.24407764774746332,0.8090538677154532
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,29,0.6305529665670291,1,1,0,,,0.8976524736649226,0.8976524736649226,0.99999999999084
sciq_llama8b,sciq,QA,198,30,0.6627563048881406,1,1,0,,,0.8392775693818294,0.8392775693818294,0.6430448251120819
se_nq_open_llama8b,nq_open,QA,8460,27,0.9846369856515791,2,1,0,,full_fit_target_ambiguity,0.9768687395557363,0.9768687395557363,0.9999999996757405
se_squad_v2_llama8b,squad_v2,QA,2933,27,0.9685493371855205,3,3,2,,,0.9307992201515308,0.10473479419196574,0.8914794571133495
seiclr_triviaqa_opt30b,triviaqa,QA,5000,19,0.9483385194917953,2,3,2,,,0.8022057604621503,0.2079453737307474,0.842032422230842
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,27,0.9847828273060343,4,4,3,,,0.8657013411168294,0.09301984293887255,0.9214372775562789
spilled_triviaqa_llama8b,triviaqa,QA,256,28,0.7672928033136739,1,1,0,,,0.9241673218654717,0.9241673218654717,0.9999999999745977
truthfulqa_llama8b,truthfulqa,QA,7633,29,0.9615482133037418,4,1,0,target_component_ambiguous,,0.7650941827740875,0.7650941827740875,0.027835497500147466
ars_gsm8k_r1distill8b,gsm8k,math,500,30,0.7450243199641646,1,1,0,,,0.9791490544792801,0.9791490544792801,0.9999999999134344
internalstates_gsm8k_qwen25_7b,gsm8k,math,500,29,0.8332216949079725,1,1,0,,,0.9613264411989257,0.9613264411989257,0.9999999999971589
lapeigvals_gsm8k_llama3b,gsm8k,math,1319,30,0.9514365421933761,1,1,0,,,0.981087283644097,0.981087283644097,0.9999999999992694
lapeigvals_gsm8k_llama8b,gsm8k,math,500,29,0.8316525868723865,1,1,0,,,0.9504016784333721,0.9504016784333721,0.99999999999952
lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,30,0.9553292047574559,1,1,0,,,0.9810417854933128,0.9810417854933128,0.9999999999971136
lapeigvals_gsm8k_nemo,gsm8k,math,1319,29,0.5981259892378438,1,1,0,,,0.9744756165130781,0.9744756165130781,0.9999999999888807
lapeigvals_gsm8k_phi35,gsm8k,math,1319,29,0.8717113410011144,1,1,0,,,0.9823111166365424,0.9823111166365424,0.9999999999995322
noise_gsm8k_mistral7b,gsm8k,math,1319,29,0.8869040674338604,2,3,2,,,0.9756615205787369,0.2551446234434789,0.8531349476918877
noise_gsm8k_phi3mini,gsm8k,math,1319,29,0.7593488192857942,1,1,0,,,0.9663040508338736,0.9663040508338736,0.9999999999715687
math500_dsmath7b,math500,math,300,30,0.7246057709274136,1,1,0,,,0.8685635064574753,0.8685635064574753,0.9999999999776024
math500_qwenmath7b,math500,math,300,28,0.9592081597164508,2,1,0,target_component_ambiguous,,0.9969360095958459,0.9969360095958459,0.999999999999369
math500_r1distill8b,math500,math,300,28,0.8509237905813052,1,1,0,,,0.9700487301313389,0.9700487301313389,0.999999999988753
math500_r1distill8b_mn4096,math500,math,300,29,0.8851039098419771,1,1,0,,,0.9699997324851175,0.9699997324851175,0.9999999999966144
trace_gsm8k_llama8b_k10,gsm8k,math,5000,29,0.9815218311140682,1,1,0,,,0.972194205935403,0.972194205935403,0.9999999999995552
trace_math500_qwenmath15b_k10,math500,math,3000,30,0.9151280071159804,4,1,0,target_component_ambiguous,,0.7835834268977466,0.7835834268977466,0.2872548215986611
