access_tier,answer_process_stratum,candidate,error_position_quartile,family,length_stratum,locator,model,prediction,reducer,score,target,task,trace_length,unit
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,-0.05655267826653193,1,local,354,gsm8k-1
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q2,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,0.34261720802879675,1,local,530,gsm8k-105
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,1.0976119487628697,1,local,374,gsm8k-108
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,long,3,qwen3_8b,3,step_max_token_argmax,0.9278853944587973,1,local,426,gsm8k-109
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q2,gsm8k,long,0,qwen3_8b,0,step_max_token_argmax,0.3672116858191847,2,local,343,gsm8k-112
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.1477930636926897,0,local,233,gsm8k-124
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q2,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,-0.02288204421650846,1,local,161,gsm8k-132
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q3,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,0.10979714656802456,3,local,319,gsm8k-133
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,medium,2,qwen3_8b,2,step_max_token_argmax,0.3846267655647272,1,local,292,gsm8k-144
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.06738748017893167,0,local,143,gsm8k-145
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q3,gsm8k,long,4,qwen3_8b,4,step_max_token_argmax,0.740578678207088,5,local,503,gsm8k-150
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q4,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,-0.08112423892078316,5,local,252,gsm8k-151
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,medium,1,qwen3_8b,1,step_max_token_argmax,0.10502217496490243,0,local,242,gsm8k-159
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,0.44173990087484494,1,local,391,gsm8k-166
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.34605151290900094,0,local,162,gsm8k-168
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,0.18948493345787693,0,local,210,gsm8k-177
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q3,gsm8k,medium,0,qwen3_8b,-1,step_max_token_argmax,-0.2759111934998918,3,local,308,gsm8k-185
A,answer_wrong_process_error,P0_S1_FAMILY6_STEP_MAX,q1,gsm8k,medium,4,qwen3_8b,4,step_max_token_argmax,0.49227160399191233,0,local,319,gsm8k-188
